排名,省区市,票房（万元）,场次,人次  
1,广东,30369,859826,7427625  
2,江苏,20059,618871,5096500  
3,浙江,17010,497363,4162077  
4,四川,12931,419708,3402875  
5,北京,12666,235028,2360725  
6,上海,11896,255427,2406072  
7,山东,10519,389771,2737708  
8,湖北,9742,283463,2607392  
9,河南,9243,345207,2447846  
10,安徽,8243,259184,2160583  
11,福建,7969,221984,2009844  
12,湖南,7720,244450,2048334  
13,江西,6353,182847,1701885  
14,河北,5927,233937,1527486  
15,辽宁,5924,202576,1550438  
16,陕西,5809,188473,1474067  
17,重庆,5601,181367,1442853  
18,广西,4746,151617,1243188  
19,云南,4273,126037,1054217  
20,山西,3590,134387,935946  
21,天津,3425,88315,825292  
22,吉林,3016,88795,750417  
23,黑龙江,2952,105062,759095  
24,贵州,2763,96780,703674  
25,内蒙古,2671,93370,669172  
26,甘肃,2288,77079,579371  
27,新疆,1879,70253,447248  
28,海南,1784,58965,455921  
29,宁夏,1051,33589,259116  
30,青海,783,21232,175345  
31,西藏,666,16078,150074  
