排名,省区市,票房（万元）,场次,人次  
1,广东,51846,1155612,12398722  
2,江苏,39458,908759,9861326  
3,浙江,31475,709165,7656891  
4,四川,23709,598733,6063445  
5,上海,22947,328790,4603489  
6,山东,22729,632969,5796052  
7,北京,20393,301920,4029565  
8,湖北,17244,404631,4422206  
9,河南,16994,529519,4406400  
10,安徽,15450,381651,3950408  
11,福建,13752,315788,3440552  
12,湖南,12977,355471,3329371  
13,河北,12786,377690,3226939  
14,辽宁,11660,291927,2988254  
15,江西,10422,265479,2745042  
16,陕西,10342,274534,2584497  
17,重庆,9214,250034,2323988  
18,山西,7511,209750,1903372  
19,广西,7386,211345,1894821  
20,云南,6375,172328,1555718  
21,天津,5973,119995,1473434  
22,黑龙江,4904,151063,1223794  
23,内蒙古,4885,137911,1210443  
24,贵州,4810,140610,1213534  
25,吉林,4569,121053,1156238  
26,甘肃,3841,108981,967434  
27,海南,2933,80262,741741  
28,新疆,2788,91608,660470  
29,宁夏,1880,48189,465977  
30,青海,1212,28211,273845  
31,西藏,656,16799,147026  
