排名,省区市,票房（万元）,场次,人次  
1,广东,38041,899551,9460483  
2,江苏,19853,593760,5058505  
3,浙江,16430,481454,4054192  
4,上海,14994,272765,3082525  
5,北京,13015,246078,2644694  
6,四川,12662,404790,3304547  
7,山东,11225,389191,2905218  
8,湖北,9707,281464,2561191  
9,河南,9367,334715,2454910  
10,安徽,7832,246136,2032869  
11,福建,7677,215365,1945296  
12,湖南,7592,232474,1969682  
13,陕西,6427,190331,1642725  
14,辽宁,6414,204899,1687228  
15,河北,6390,241777,1635633  
16,江西,5925,173722,1581322  
17,重庆,5326,168743,1371324  
18,山西,4573,142327,1175540  
19,广西,4430,141001,1167479  
20,云南,3510,118695,877360  
21,天津,3273,91378,816808  
22,吉林,3186,92712,816504  
23,内蒙古,2939,96089,744867  
24,黑龙江,2835,109353,726294  
25,贵州,2828,90704,724191  
26,甘肃,2408,77054,616389  
27,海南,2008,64549,522721  
28,新疆,1916,68580,454295  
29,宁夏,1128,34412,281308  
30,青海,697,20844,163941  
31,西藏,400,12186,87568  
