排名,省区市,票房（万元）,场次,人次  
1,江苏,102412,769041,21212288  
2,广东,100412,998697,21795898  
3,山东,78644,539106,16399443  
4,浙江,72711,607823,14929649  
5,河南,68392,522733,14177001  
6,四川,61957,539703,13903734  
7,河北,52895,371233,10948763  
8,安徽,52884,350993,10968794  
9,湖北,48050,363551,10476559  
10,北京,39483,258919,6829782  
11,辽宁,38671,263260,8380946  
12,湖南,38498,348168,8513265  
13,上海,35275,262236,6371174  
14,福建,34893,288055,7428170  
15,江西,33921,269488,7388028  
16,陕西,31653,258793,6920688  
17,山西,31073,208714,6466101  
18,重庆,22021,230676,4997173  
19,广西,20587,205742,4786578  
20,黑龙江,18064,159345,3911883  
21,内蒙古,17205,143622,3688831  
22,天津,17173,104663,3442931  
23,吉林,17091,128136,3763405  
24,云南,15985,166853,3498147  
25,贵州,14409,140601,3254762  
26,甘肃,14366,117517,3113505  
27,海南,10320,86550,2094949  
28,新疆,9008,106583,1968724  
29,宁夏,5947,45053,1304985  
30,青海,3572,29230,680175  
31,西藏,1085,15969,233116  
