排名,影片,票房（万元）,人次,累计票房  
1,抓娃娃,242098.31,58377624,24.21亿元  
2,默杀,126374.41,30633075,12.64亿元  
3,神偷奶爸4,30510.05,7629335,3.05亿元  
4,死侍与金刚狼,24089.62,5559765,2.41亿元  
5,头脑特工队2,16005.65,3938775,3.34亿元  
6,云边有个小卖部,13871.26,3443010,4.98亿元  
7,你的名字。,12432.15,3260229,7.01亿元  
8,异人之下,10597.05,2502565,1.06亿元  
9,传说,7976.69,2057942,7982万元  
10,解密,6692.21,1588218,6692万元  
11,喜羊羊与灰太狼之守护,6557.57,1827456,6558万元  
12,寂静之地：入侵日,5763.86,1454109,1.29亿元  
13,海关战线,5483.57,1258828,1.29亿元  
14,欢迎来到我身边,4534.06,1058176,4549万元  
15,落凡尘,3505.36,934512,3506万元  
