排名,影片,票房（万元）,人次,累计票房  
1,云边有个小卖部,35938,8848618,3.59亿  
2,我才不要和你做朋友呢,19582,4909662,2.00亿  
3,扫黑·决不放弃,18565,4664677,1.91亿  
4,加菲猫家族,17503,4704632,1.75亿  
5,头脑特工队2,17387,4202971,1.74亿  
6,谈判专家,14107,3424945,1.55亿  
7,排球少年！！垃圾场决战,11771,3009358,1.18亿  
8,哆啦A梦：大雄的地球交响乐,11677,3137008,1.30亿  
9,走走停停,10092,2588376,1.02亿  
10,海关战线,7437,1728049,7437万  
11,寂静之地：入侵日,7166,1800143,7166万  
12,疯狂的麦克斯：狂暴女神,5916,1325227,5916万  
13,末路狂花钱,5501,1369579,7.82亿  
14,九龙城寨之围城,4519,1085503,6.85亿  
15,来福大酒店,4320,1041318,4326万  
