排名,省区市,票房（万元）,场次,人次  
1,广东,30418,915474,7355250  
2,江苏,19766,695434,5051712  
3,上海,16072,279169,2977962  
4,浙江,15675,538013,3836972  
5,四川,12425,464487,3281541  
6,北京,11276,254406,2271938  
7,山东,10871,454083,2853391  
8,湖北,10104,329180,2682268  
9,河南,9951,402265,2645742  
10,安徽,8261,297557,2185786  
11,湖南,7616,277818,2011642  
12,福建,7428,246581,1889001  
13,河北,6674,273218,1730236  
14,陕西,6248,213805,1590661  
15,江西,6235,208620,1671847  
16,辽宁,5981,221895,1563751  
17,重庆,5274,199610,1344313  
18,广西,4035,157571,1064021  
19,山西,3972,158517,1046703  
20,天津,3332,96458,823872  
21,云南,3308,129998,824246  
22,黑龙江,3096,114167,786602  
23,吉林,2942,96601,757794  
24,内蒙古,2592,100754,659304  
25,贵州,2469,102847,633927  
26,甘肃,2061,83467,532109  
27,海南,1703,63265,449517  
28,新疆,1613,74744,390996  
29,宁夏,926,36341,235909  
30,青海,569,20513,132977  
31,西藏,339,13275,76582  
