排名,影片,票房（万元）,人次,累计票房  
1,周处除三害,62630.05,15870843,6.44亿元  
2,沙丘2,33472.05,7031979,3.35亿元  
3,哥斯拉大战金刚2：帝国崛起,31712.97,7321741,3.17亿元  
4,第二十条,28892.26,6921491,24.23亿元  
5,飞驰人生2,24717.92,5813718,33.56亿元  
6,功夫熊猫4,24591.43,6033101,2.46亿元  
7,被我弄丢的你,20809.31,5066848,2.08亿元  
8,熊出没·逆转时空,13638.78,3394726,19.54亿元  
9,热辣滚烫,12056.34,2899223,34.16亿元  
10,灿烂的她,9667.56,2530904,9668万元  
11,我们一起摇太阳,6560.10,1566040,1.57亿元  
12,坠落的审判,1342.72,329119,1343万元  
13,红毯先生,1001.86,255464,9355万元  
14,戏杀,861.46,228946,863万元  
15,沙丘,846.06,144258,2.62亿元  
