排名,省区市,票房（万元）,场次,人次  
1,广东,39672,934846,9367620  
2,江苏,23408,665567,5825658  
3,浙江,20251,535373,4813846  
4,北京,17019,252703,3167716  
5,上海,16891,270942,3212115  
6,四川,16676,464061,4216607  
7,山东,12504,433087,3145119  
8,湖北,11519,307041,2990811  
9,河南,10824,385727,2751380  
10,安徽,9509,284727,2414363  
11,福建,9403,240806,2323427  
12,湖南,8936,270133,2267555  
13,陕西,7759,207162,1919938  
14,辽宁,7640,226949,1933152  
15,河北,7416,262607,1833871  
16,重庆,6816,199355,1719497  
17,江西,6740,200720,1780116  
18,广西,5804,162658,1476986  
19,云南,5098,140750,1239370  
20,山西,4702,151366,1178653  
21,天津,4064,95202,970448  
22,吉林,4056,103131,1034827  
23,黑龙江,3779,120457,950343  
24,内蒙古,3778,106551,916906  
25,贵州,3634,111616,900052  
26,甘肃,3133,89412,766574  
27,新疆,2570,80410,601082  
28,海南,2431,69606,600600  
29,宁夏,1317,35636,314807  
30,青海,918,22316,201976  
31,西藏,516,14526,114195  
