排名,影片,票房（万元）,人次,累计票房  
1,末路狂花钱,72587.22,18109034,7.27亿元  
2,九龙城寨之围城,55883.88,13616333,6.39亿元  
3,维和防暴队,50766.01,12125622,5.08亿元  
4,间谍过家家 代号：白,25016.26,6458128,2.87亿元  
5,猩球崛起：新世界,19276.42,4702818,1.93亿元  
6,哈尔的移动城堡,14414.31,3665264,1.62亿元  
7,彷徨之刃,8576.67,2080440,8577万元  
8,猪猪侠大电影·星际行动,5338.30,1499438,5346万元  
9,错过你的那些年,5064.84,1333497,5065万元  
10,穿过月亮的旅行,4517.92,1128986,4581万元  
11,没有一顿火锅解决不了的事,4127.05,1024388,5442万元  
12,哥斯拉大战金刚2：帝国崛起,3771.89,899549,9.54亿元  
13,三叉戟,2720.27,673620,2720万元  
14,朝云暮雨,1857.70,445894,1858万元  
15,功夫熊猫4,1738.63,437841,3.68亿元  
