排名,影片,票房（万元）,人次,累计票房  
1,好东西,34141.91,8092789,3.41亿元  
2,毒液：最后一舞,27321.83,6656271,6.73亿元  
3,焚城,23996.93,5861819,2.56亿元  
4,胜券在握,18314.89,4910947,1.83亿元  
5,那个不为人知的故事,11292.31,2915692,1.13亿元  
6,鸳鸯楼·惊魂,10396.04,3146962,1.10亿元  
7,蜡笔小新：我们的恐龙日记,9251.24,2535647,9251万元  
8,乔妍的心事,4508.14,1157280,1.51亿元  
9,志愿军：存亡之战,3933.91,999832,12.02亿元  
10,哈利·波特与火焰杯,3499.01,848554,3506万元  
11,角斗士2,3360.10,803859,3360万元  
12,海洋奇缘2,3130.74,769580,3131万元  
13,火影忍者剧场版：忍者之路,3061.90,827425,3062万元  
14,哈利·波特与凤凰社,2868.59,687741,2981万元  
15,哈利·波特与混血王子,2620.63,624943,1.81亿元  
