排名,省区市,票房（万元）,场次,人次  
1,广东,25559,826470,6270746  
2,江苏,16100,592621,4193280  
3,浙江,13849,484393,3477855  
4,上海,12665,257572,2593843  
5,北京,11674,234589,2375761  
6,四川,10264,404012,2754392  
7,山东,9050,386332,2424509  
8,湖北,8083,279904,2204542  
9,河南,7301,338164,2016645  
10,福建,6620,215784,1694398  
11,安徽,6169,248511,1670473  
12,湖南,6060,233565,1625206  
13,辽宁,5398,202776,1461523  
14,河北,5201,238020,1386168  
15,陕西,5149,182528,1340884  
16,江西,4510,174848,1267490  
17,重庆,4167,165284,1079714  
18,山西,3620,139683,972545  
19,广西,3355,135791,903056  
20,云南,3097,120862,783444  
21,天津,2856,88488,721197  
22,内蒙古,2576,93989,673763  
23,黑龙江,2485,109516,651221  
24,吉林,2392,87651,640882  
25,贵州,2251,91700,589163  
26,甘肃,2056,75756,541431  
27,新疆,1726,67647,414843  
28,海南,1536,59042,416561  
29,宁夏,916,33165,232954  
30,青海,636,20982,151795  
31,西藏,373,12114,82751  
