排名,影片,票房（万元）,人次,累计票房  
1,志愿军：存亡之战,115533,26942395,11.63亿  
2,浴火之路,46108,11683366,4.61亿  
3,毒液：最后一舞,39993,9638072,4.00亿  
4,749局,37520,9115068,3.75亿  
5,熊猫计划,29631,8503462,2.96亿  
6,危机航线,27726,6547316,2.99亿  
7,乔妍的心事,10623,2711704,1.06亿  
8,变形金刚：起源,8499,2053554,1.50亿  
9,哈利·波特与魔法石,7446,1763780,2.67亿  
10,小丑2：双重妄想,5322,1318942,5322万  
11,只此青绿,4424,1039119,5021万  
12,哈利·波特与密室,4339,1042743,4346万  
13,哈利·波特与阿兹卡班的囚徒,3582,887399,3588万  
14,蓦然回首,3505,899100,3505万  
15,新大头儿子和小头爸爸6 迷你大冒险,2714,803230,2765万  
