排名,省区市,票房（万元）,场次,人次  
1,广东,45031,974353,10834312  
2,江苏,37179,750971,9341708  
3,浙江,28419,596277,6957326  
4,四川,20612,499348,5371392  
5,上海,19872,293398,4088767  
6,山东,18122,478470,4718440  
7,北京,17590,268032,3535132  
8,湖北,15991,342849,4219267  
9,河南,15388,419065,4093677  
10,安徽,14116,309859,3663810  
11,福建,12473,259233,3127238  
12,湖南,11533,293196,2983455  
13,辽宁,11219,253039,2864034  
14,河北,10666,298262,2747331  
15,陕西,10276,228120,2561364  
16,江西,9431,215081,2505651  
17,重庆,8164,207205,2061132  
18,山西,7107,175546,1858108  
19,广西,6972,167625,1791813  
20,云南,5553,144254,1365226  
21,天津,5316,105355,1295666  
22,黑龙江,4711,134800,1186965  
23,内蒙古,4688,117703,1189025  
24,吉林,4506,107638,1157874  
25,贵州,4119,114486,1044877  
26,甘肃,3835,93297,982566  
27,新疆,3140,84632,762536  
28,海南,2978,71505,765743  
29,宁夏,1711,40088,423540  
30,青海,1107,24398,256604  
31,西藏,643,14860,141313  
