排名,影片,票房（万元）,人次,累计票房  
1,野孩子,23732.95,5940073,2.37亿元  
2,重生,15987.61,3810873,4.65亿元  
3,异形：夺命舰,14140.34,3468035,7.83亿元  
4,出走的决心,11421.39,2863734,1.14亿元  
5,一雪前耻,9379.99,2265822,9380万元  
6,抓娃娃,7254.93,1755778,33.27亿元  
7,变形金刚：起源,6458.07,1441111,6458万元  
8,祝你幸福！,5976.30,1463412,5976万元  
9,姥姥的外孙,5786.52,1528363,1.26亿元  
10,志愿军：存亡之战,4768.75,1133855,4769万元  
11,逆鳞,4298.30,1032906,1.75亿元  
12,荒野机器人,3648.46,903968,3648万元  
13,名侦探柯南：百万美元的五棱星,3630.81,955485,2.83亿元  
14,里斯本丸沉没,3431.95,841523,3540万元  
15,白蛇：浮生,3332.27,810311,4.24亿元  
