排名,省区市,票房（万元）,场次,人次  
1,广东,19968,756701,4791818  
2,江苏,12380,534830,3104892  
3,浙江,11068,451112,2688822  
4,四川,8846,392781,2318895  
5,北京,8131,223681,1621049  
6,上海,8057,231792,1631057  
7,山东,6929,351474,1773686  
8,河南,6370,318523,1648404  
9,湖北,6310,260108,1648916  
10,安徽,5315,227836,1367234  
11,湖南,4973,216260,1284402  
12,福建,4719,194533,1179705  
13,河北,4123,210082,1044711  
14,辽宁,4079,184767,1048427  
15,陕西,4051,173547,1024159  
16,重庆,3924,165148,969333  
17,江西,3923,162684,1037221  
18,山西,2795,126026,697740  
19,广西,2612,124221,673180  
20,云南,2329,107133,574865  
21,天津,2141,80437,531154  
22,黑龙江,1980,99139,498839  
23,内蒙古,1870,82573,464506  
24,吉林,1817,79562,461655  
25,贵州,1730,83269,441127  
26,甘肃,1525,68866,386241  
27,新疆,1208,60724,291385  
28,海南,969,44086,246725  
29,宁夏,684,29565,170071  
30,青海,480,18912,110822  
31,西藏,297,12202,67369  
