排名,影片,票房（万元）,人次,累计票房  
1,哪吒之魔童闹海,158356.15,30665558,15.84亿元  
2,唐探1900,121935.31,23801659,12.19亿元  
3,封神第二部：战火西岐,73532.23,13962320,7.35亿元  
4,误杀3,63140.65,15030758,9.3亿元  
5,射雕英雄传：侠之大者,47572.70,9583208,4.76亿元  
6,小小的我,39379.18,9810686,7.65亿元  
7,“骗骗”喜欢你,34224.35,9865214,4.44亿元  
8,熊出没·重启未来,30148.07,6045863,3.01亿元  
9,蛟龙行动,17880.31,3385983,1.79亿元  
10,名侦探柯南：迷宫的十字路口,7543.59,1989503,1.47亿元  
11,误判,6234.42,1517899,2.71亿元  
12,火锅艺术家,5707.72,1766827,5903万元  
13,帕丁顿熊3：秘鲁大冒险,4540.55,1200727,4556万元  
14,刺猬索尼克3,4389.00,1163293,4389万元  
15,假爸爸,4049.51,1065051,4050万元  
