排名,省区市,票房（万元）,场次,人次  
1,江苏,66038,717770,13615117  
2,广东,62866,964510,13949398  
3,浙江,46563,569594,9554008  
4,山东,41664,492094,8631389  
5,四川,37293,497686,8305803  
6,河南,35530,463087,7474236  
7,安徽,29139,322904,6041908  
8,湖北,27499,345594,6071396  
9,上海,24901,279845,4700864  
10,河北,24768,319593,5190597  
11,北京,23808,263232,4330954  
12,湖南,21099,306881,4755366  
13,福建,20764,257265,4430146  
14,辽宁,19009,247208,4180758  
15,江西,18849,227021,4147454  
16,陕西,17287,232412,3805309  
17,山西,15232,180638,3229132  
18,重庆,13794,203987,3107188  
19,广西,12016,169689,2752745  
20,云南,10067,142139,2195882  
21,黑龙江,9137,147262,2035082  
22,天津,9009,104400,1876507  
23,吉林,8790,119611,1945387  
24,内蒙古,8543,125146,1841697  
25,贵州,8192,120309,1866831  
26,甘肃,7230,101131,1606244  
27,海南,6361,77435,1281341  
28,新疆,5104,86603,1109029  
29,宁夏,2909,42896,650327  
30,青海,2004,26279,390551  
31,西藏,708,13389,146363  
