地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
上海市,24年第1周（20240101-20240107）,5586.5万,5097.3万,110.1万,81120,5.60%,5.70%,2.90%,50.73,46.29,13.6,320,0
上海市,24年第2周（20240108-20240114）,3530.6万,3212.1万,71.0万,80012,6.20%,6.30%,3.00%,49.69,45.21,8.9,315,0
上海市,24年第3周（20240115-20240121）,2963.3万,2694.4万,60.3万,82068,5.80%,5.90%,2.90%,49.13,44.67,7.3,314,0
上海市,24年第4周（20240122-20240128）,2180.6万,1985.6万,44.4万,82228,5.30%,5.30%,2.90%,49.11,44.72,5.4,316,0
上海市,24年第5周（20240129-20240204）,1443.8万,1311.8万,29.4万,80139,4.50%,4.60%,2.90%,49.04,44.56,3.7,319,0
上海市,24年第6周（20240205-20240211）,8196.4万,7457.5万,147.1万,77532,3.10%,3.10%,2.90%,55.72,50.69,19,327,0
上海市,24年第7周（20240212-20240218）,1.87亿,1.70亿,332.2万,94203,3.10%,3.10%,2.70%,56.31,51.21,35.3,323,0
上海市,24年第8周（20240219-20240225）,6066.4万,5516.9万,112.8万,82031,3.10%,3.10%,2.70%,53.77,48.9,13.8,326,0
上海市,24年第9周（20240226-20240303）,3610.7万,3282.1万,70.9万,77957,4.50%,4.50%,2.90%,50.91,46.28,9.1,329,0
上海市,24年第10周（20240304-20240310）,5077.3万,4603.3万,95.9万,75750,6.10%,6.10%,2.90%,52.93,47.99,12.7,329,2141
上海市,24年第11周（20240311-20240317）,3491.0万,3166.2万,64.7万,73173,6.40%,6.40%,2.90%,53.96,48.94,8.8,331,2141
上海市,24年第12周（20240318-20240324）,2444.5万,2216.2万,46.7万,74132,6.10%,6.10%,2.90%,52.34,47.45,6.3,330,2134
上海市,24年第13周（20240325-20240331）,3383.5万,3069.7万,64.8万,76576,6.10%,6.10%,3.00%,52.14,47.3,8.5,328,2133
上海市,24年第14周（20240401-20240407）,5959.5万,5355.4万,120.5万,83769,5.10%,5.10%,2.90%,49.44,44.43,14.4,327,2115
上海市,24年第15周（20240408-20240414）,2422.8万,2187.5万,48.8万,80477,5.60%,5.60%,2.90%,49.63,44.81,6.1,329,2105
上海市,24年第16周（20240415-20240421）,1709.7万,1556.7万,34.6万,81607,5.70%,5.80%,3.00%,49.38,44.97,4.2,327,2100
上海市,24年第17周（20240422-20240428）,1176.9万,1077.9万,23.8万,78762,5.20%,5.20%,3.00%,49.42,45.26,3,329,2104
上海市,24年第18周（20240429-20240505）,7541.0万,6851.5万,150.6万,89391,4.50%,4.50%,2.90%,50.05,45.47,16.9,327,2122
上海市,24年第19周（20240506-20240512）,2549.0万,2318.4万,51.0万,77587,5.30%,5.30%,3.00%,49.94,45.42,6.6,328,2103
上海市,24年第20周（20240513-20240519）,1994.7万,1815.5万,39.9万,78978,5.00%,5.00%,2.80%,49.98,45.49,5.1,331,2109
上海市,24年第21周（20240520-20240526）,1849.7万,1685.6万,36.9万,79910,4.60%,4.60%,2.80%,50.06,45.62,4.6,329,2107
上海市,24年第22周（20240527-20240602）,2233.0万,2036.0万,45.4万,79957,5.30%,5.30%,2.90%,49.12,44.79,5.7,325,2098
上海市,24年第23周（20240603-20240609）,2134.0万,1938.1万,43.1万,81177,5.20%,5.20%,2.90%,49.48,44.94,5.3,330,2121
上海市,24年第24周（20240610-20240616）,3576.7万,3350.1万,64.0万,85525,7.70%,8.00%,2.90%,55.81,52.28,7.5,334,2121
上海市,24年第25周（20240617-20240623）,5279.7万,5008.9万,88.1万,86347,10.70%,11.20%,3.00%,59.9,56.82,10.2,331,2110
上海市,24年第26周（20240624-20240630）,3695.3万,3384.2万,73.5万,86417,6.10%,6.20%,3.00%,50.24,46.01,8.5,328,2106
上海市,24年第27周（20240701-20240707）,4098.0万,3739.5万,82.1万,88457,5.20%,5.30%,3.00%,49.9,45.53,9.3,323,2106
上海市,24年第28周（20240708-20240714）,5859.3万,5317.1万,118.8万,88384,4.90%,5.00%,2.90%,49.28,44.72,13.5,330,2121
上海市,24年第29周（20240715-20240721）,8838.3万,8030.4万,178.7万,87252,5.00%,5.00%,2.90%,49.46,44.93,20.5,326,2121
上海市,24年第30周（20240722-20240728）,7491.1万,6805.7万,148.4万,86846,5.60%,5.60%,2.90%,50.47,45.85,17.1,324,2122
上海市,24年第31周（20240729-20240804）,5521.5万,5012.7万,110.5万,84070,5.50%,5.50%,2.90%,49.93,45.33,13.2,322,2110
上海市,24年第32周（20240805-20240811）,5236.5万,4777.8万,102.1万,83347,5.30%,5.30%,2.90%,51.27,46.78,12.3,324,2122
上海市,24年第33周（20240812-20240818）,5918.3万,5368.2万,119.8万,85380,6.30%,6.30%,2.90%,49.4,44.81,14,330,2129
上海市,24年第34周（20240819-20240825）,5416.2万,4909.0万,109.4万,87823,5.50%,5.60%,2.90%,49.5,44.87,12.5,332,2127
上海市,24年第35周（20240826-20240901）,3102.4万,2820.9万,64.3万,85842,5.20%,5.20%,2.90%,48.24,43.87,7.5,325,2100
上海市,24年第36周（20240902-20240908）,1722.0万,1569.4万,34.8万,78584,5.90%,6.00%,2.90%,49.39,45.01,4.4,325,2073
