地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
云南省,24年第1周（20240101-20240107）,1369.5万,1230.4万,34.2万,57431,1.30%,1.30%,2.00%,39.94,35.89,6,347,0
云南省,24年第2周（20240108-20240114）,895.4万,806.8万,23.1万,55934,1.50%,1.50%,2.00%,38.66,34.84,4.1,346,0
云南省,24年第3周（20240115-20240121）,798.8万,712.8万,20.5万,57822,1.50%,1.50%,2.10%,38.89,34.71,3.6,335,0
云南省,24年第4周（20240122-20240128）,637.8万,568.9万,16.4万,58578,1.50%,1.50%,2.10%,38.77,34.58,2.8,333,0
云南省,24年第5周（20240129-20240204）,499.3万,444.5万,12.9万,56616,1.50%,1.50%,2.10%,38.6,34.36,2.3,334,0
云南省,24年第6周（20240205-20240211）,3595.7万,3202.3万,76.8万,52785,1.30%,1.30%,2.00%,46.77,41.65,14.6,349,0
云南省,24年第7周（20240212-20240218）,8374.0万,7499.4万,180.5万,66016,1.40%,1.30%,1.90%,46.38,41.54,27.3,338,0
云南省,24年第8周（20240219-20240225）,3012.1万,2713.7万,68.5万,58628,1.50%,1.50%,1.90%,43.91,39.56,11.7,349,0
云南省,24年第9周（20240226-20240303）,1340.3万,1204.6万,31.9万,53892,1.60%,1.60%,2.00%,41.97,37.72,5.9,344,0
云南省,24年第10周（20240304-20240310）,1446.7万,1296.6万,35.1万,53235,1.70%,1.70%,2.00%,41.19,36.91,6.6,344,1524
云南省,24年第11周（20240311-20240317）,1038.7万,932.5万,25.5万,51763,1.90%,1.90%,2.00%,40.68,36.53,4.9,346,1521
云南省,24年第12周（20240318-20240324）,791.7万,713.3万,19.6万,52119,1.90%,1.90%,2.00%,40.34,36.35,3.8,342,1503
云南省,24年第13周（20240325-20240331）,1032.3万,930.2万,24.6万,52444,1.80%,1.80%,2.00%,41.82,37.68,4.7,340,1497
云南省,24年第14周（20240401-20240407）,2278.2万,2031.9万,56.0万,56795,1.90%,1.90%,2.00%,40.66,36.26,9.9,338,1487
云南省,24年第15周（20240408-20240414）,807.4万,722.9万,20.0万,55196,1.80%,1.80%,2.00%,40.35,36.13,3.6,340,1481
云南省,24年第16周（20240415-20240421）,582.8万,523.2万,14.3万,55488,1.90%,1.90%,2.00%,40.64,36.48,2.6,342,1489
