地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
内蒙古自治区,24年第1周（20240101-20240107）,1366.9万,1224.7万,34.5万,47439,1.30%,1.30%,1.70%,39.55,35.43,7.3,242,0
内蒙古自治区,24年第2周（20240108-20240114）,959.3万,858.8万,24.8万,46123,1.70%,1.60%,1.70%,38.62,34.58,5.4,244,0
内蒙古自治区,24年第3周（20240115-20240121）,762.6万,682.7万,20.0万,47922,1.50%,1.50%,1.70%,38.13,34.13,4.2,244,0
内蒙古自治区,24年第4周（20240122-20240128）,652.8万,585.5万,17.2万,48977,1.50%,1.50%,1.70%,37.76,33.87,3.5,250,0
内蒙古自治区,24年第5周（20240129-20240204）,491.0万,438.4万,12.7万,48081,1.50%,1.50%,1.70%,38.48,34.35,2.7,246,0
内蒙古自治区,24年第6周（20240205-20240211）,3964.6万,3578.2万,82.8万,44927,1.50%,1.50%,1.70%,47.83,43.17,18.4,259,0
内蒙古自治区,24年第7周（20240212-20240218）,9338.6万,8473.9万,197.4万,57006,1.50%,1.50%,1.60%,47.29,42.91,34.6,253,0
内蒙古自治区,24年第8周（20240219-20240225）,2956.0万,2679.6万,66.3万,50587,1.50%,1.50%,1.70%,44.58,40.41,13.1,255,0
内蒙古自治区,24年第9周（20240226-20240303）,1147.5万,1033.4万,26.8万,45477,1.40%,1.40%,1.70%,42.74,38.49,5.9,253,0
内蒙古自治区,24年第10周（20240304-20240310）,1061.0万,953.2万,25.5万,44029,1.20%,1.20%,1.70%,41.49,37.28,5.8,251,1276
内蒙古自治区,24年第11周（20240311-20240317）,747.8万,673.4万,18.8万,43055,1.30%,1.30%,1.70%,39.65,35.71,4.4,250,1270
内蒙古自治区,24年第12周（20240318-20240324）,584.5万,524.4万,14.3万,42754,1.40%,1.40%,1.70%,40.68,36.49,3.4,250,1256
内蒙古自治区,24年第13周（20240325-20240331）,706.0万,633.5万,16.8万,43077,1.20%,1.20%,1.70%,41.85,37.56,3.9,252,1262
内蒙古自治区,24年第14周（20240401-20240407）,1330.2万,1189.4万,33.2万,47894,1.10%,1.10%,1.60%,40,35.77,6.9,251,1272
内蒙古自治区,24年第15周（20240408-20240414）,536.0万,480.9万,13.4万,47781,1.20%,1.20%,1.70%,39.74,35.66,2.8,252,1266
内蒙古自治区,24年第16周（20240415-20240421）,397.2万,355.7万,9.8万,47314,1.30%,1.30%,1.70%,40.21,36.01,2.1,249,1248
内蒙古自治区,24年第17周（20240422-20240428）,270.2万,240.9万,6.8万,45226,1.10%,1.10%,1.70%,39.58,35.29,1.5,247,1240
