地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
北京市,24年第1周（20240101-20240107）,6208.8万,5639.5万,120.5万,73251,6.30%,6.30%,2.60%,51.51,46.78,16.5,243,0
北京市,24年第2周（20240108-20240114）,3925.3万,3556.7万,77.2万,72634,6.90%,7.00%,2.70%,50.8,46.03,10.6,245,0
北京市,24年第3周（20240115-20240121）,3275.8万,2961.6万,64.6万,75064,6.40%,6.50%,2.70%,50.68,45.82,8.6,243,0
北京市,24年第4周（20240122-20240128）,2381.1万,2151.7万,46.9万,74376,5.70%,5.80%,2.70%,50.74,45.85,6.3,243,0
北京市,24年第5周（20240129-20240204）,1574.8万,1423.3万,31.1万,71729,5.00%,5.00%,2.60%,50.59,45.73,4.3,246,0
北京市,24年第6周（20240205-20240211）,8377.2万,7657.3万,140.9万,68359,3.20%,3.20%,2.50%,59.41,54.31,20.6,254,0
北京市,24年第7周（20240212-20240218）,2.02亿,1.85亿,342.8万,85417,3.30%,3.40%,2.50%,59.07,54.01,40.1,253,0
北京市,24年第8周（20240219-20240225）,8183.5万,7478.0万,148.1万,75182,4.30%,4.30%,2.50%,55.24,50.48,19.7,253,0
北京市,24年第9周（20240226-20240303）,4196.8万,3833.4万,79.8万,70638,5.30%,5.30%,2.60%,52.54,47.99,11.3,254,0
北京市,24年第10周（20240304-20240310）,5164.7万,4711.7万,96.2万,68486,6.20%,6.30%,2.60%,53.63,48.93,14.1,254,1863
北京市,24年第11周（20240311-20240317）,3396.3万,3088.4万,61.6万,66978,6.20%,6.30%,2.60%,55.11,50.12,9.2,251,1857
北京市,24年第12周（20240318-20240324）,2553.2万,2325.1万,47.4万,68486,6.30%,6.40%,2.70%,53.83,49.02,6.9,251,1857
北京市,24年第13周（20240325-20240331）,3096.7万,2807.2万,57.9万,70823,5.60%,5.60%,2.80%,53.43,48.43,8.2,250,1852
北京市,24年第14周（20240401-20240407）,5635.5万,5086.9万,108.3万,76807,4.80%,4.80%,2.70%,52,46.93,14.1,250,1853
北京市,24年第15周（20240408-20240414）,2441.9万,2208.1万,47.4万,73854,5.70%,5.70%,2.70%,51.42,46.5,6.4,251,1841
北京市,24年第16周（20240415-20240421）,2019.8万,1867.1万,36.0万,73757,6.80%,6.90%,2.70%,56.11,51.86,4.9,250,1826
北京市,24年第17周（20240422-20240428）,1909.3万,1801.0万,31.3万,70795,8.40%,8.70%,2.70%,60.88,57.43,4.4,251,1811
北京市,24年第18周（20240429-20240505）,7177.8万,6514.8万,137.9万,81274,4.30%,4.30%,2.70%,52.02,47.22,17,253,1862
北京市,24年第19周（20240506-20240512）,2490.9万,2260.0万,48.8万,72360,5.10%,5.20%,2.80%,51.02,46.29,6.7,253,1849
北京市,24年第20周（20240513-20240519）,2105.1万,1914.5万,41.3万,74848,5.20%,5.30%,2.70%,50.93,46.32,5.5,254,1856
北京市,24年第21周（20240520-20240526）,1922.2万,1746.3万,37.9万,76317,4.80%,4.80%,2.70%,50.69,46.05,5,255,1851
北京市,24年第22周（20240527-20240602）,2175.6万,1971.3万,44.1万,76420,5.10%,5.10%,2.70%,49.23,44.6,5.8,255,1852
北京市,24年第23周（20240603-20240609）,2163.7万,1958.4万,43.1万,77061,5.20%,5.30%,2.70%,50.19,45.43,5.6,255,1868
北京市,24年第24周（20240610-20240616）,2527.7万,2286.9万,50.8万,79705,5.40%,5.40%,2.70%,49.73,44.99,6.4,252,1850
北京市,24年第25周（20240617-20240623）,2238.8万,2022.8万,45.2万,79463,4.50%,4.50%,2.70%,49.46,44.69,5.7,254,1836
北京市,24年第26周（20240624-20240630）,2901.3万,2624.4万,58.6万,77907,4.80%,4.80%,2.70%,49.45,44.73,7.5,255,1853
北京市,24年第27周（20240701-20240707）,3973.8万,3598.5万,80.0万,80367,5.10%,5.10%,2.70%,49.65,44.96,10,258,1861
北京市,24年第28周（20240708-20240714）,6012.9万,5432.1万,119.5万,80441,5.10%,5.10%,2.60%,50.32,45.46,14.9,257,1852
北京市,24年第29周（20240715-20240721）,9507.1万,8613.3万,187.8万,79525,5.40%,5.40%,2.60%,50.6,45.84,23.6,257,1870
北京市,24年第30周（20240722-20240728）,7208.5万,6523.5万,141.4万,78694,5.40%,5.40%,2.60%,50.97,46.13,18,259,1861
北京市,24年第31周（20240729-20240804）,5330.5万,4826.7万,104.4万,76423,5.30%,5.30%,2.60%,51.03,46.2,13.7,259,1864
北京市,24年第32周（20240805-20240811）,4811.4万,4362.5万,94.3万,76169,4.80%,4.80%,2.60%,51.02,46.26,12.4,259,1863
北京市,24年第33周（20240812-20240818）,4934.5万,4464.4万,97.2万,77355,5.20%,5.20%,2.60%,50.72,45.88,12.6,260,1857
北京市,24年第34周（20240819-20240825）,4573.2万,4126.8万,91.0万,79858,4.70%,4.70%,2.60%,50.22,45.31,11.4,257,1851
北京市,24年第35周（20240826-20240901）,2795.3万,2525.8万,56.2万,79713,4.70%,4.70%,2.60%,49.67,44.88,7.1,256,1843
北京市,24年第36周（20240902-20240908）,1542.4万,1396.2万,31.0万,74896,5.30%,5.30%,2.70%,49.68,44.97,4.1,257,1815
北京市,24年第37周（20240909-20240915）,1561.8万,1435.3万,31.2万,72165,5.50%,5.60%,2.70%,49.97,45.93,4.3,257,1839
北京市,24年第38周（20240916-20240922）,2657.9万,2419.8万,53.2万,78392,5.20%,5.30%,2.70%,49.92,45.45,6.8,257,1833
北京市,24年第39周（20240923-20240929）,1357.5万,1251.3万,26.5万,71917,6.70%,6.70%,2.80%,51.21,47.2,3.7,254,1797
北京市,24年第40周（20240930-20241006）,8078.3万,7330.8万,159.9万,83660,3.90%,3.90%,2.60%,50.51,45.84,19.1,257,1852
北京市,24年第41周（20241007-20241013）,3099.7万,2839.7万,62.3万,74014,6.00%,6.00%,2.70%,49.72,45.55,8.4,258,1843
北京市,24年第42周（20241014-20241020）,2313.7万,2132.1万,47.3万,69766,6.30%,6.40%,2.70%,48.83,45,6.8,256,1817
北京市,24年第43周（20241021-20241027）,3586.5万,3283.5万,72.8万,72781,5.70%,5.80%,2.70%,49.24,45.08,10,257,1818
北京市,24年第44周（20241028-20241103）,2745.4万,2507.2万,55.9万,74341,5.60%,5.70%,2.70%,49.1,44.84,7.5,256,1819
北京市,24年第45周（20241104-20241110）,2383.9万,2170.7万,48.6万,72862,5.50%,5.60%,2.70%,48.98,44.6,6.7,256,1810
北京市,24年第46周（20241111-20241117）,1968.4万,1795.5万,39.8万,71038,5.80%,5.90%,2.70%,49.43,45.09,5.6,254,1803
北京市,24年第47周（20241118-20241124）,2882.9万,2624.9万,58.9万,69378,6.80%,6.90%,2.70%,48.89,44.52,8.5,258,1817
北京市,24年第48周（20241125-20241201）,3544.5万,3231.2万,72.0万,71444,7.10%,7.10%,2.70%,49.19,44.84,10.1,254,1822
北京市,24年第49周（20241202-20241208）,2681.7万,2441.9万,54.6万,72919,6.40%,6.50%,2.70%,49.06,44.67,7.5,254,1816
北京市,24年第50周（20241209-20241215）,2264.1万,2070.4万,46.4万,70739,6.10%,6.10%,2.70%,48.76,44.59,6.6,256,1824
北京市,24年第51周（20241216-20241222）,2212.2万,2012.9万,44.9万,68791,5.90%,5.90%,2.70%,49.19,44.76,6.5,257,1817
北京市,24年第52周（20241223-20241229）,3158.0万,2887.1万,64.3万,70640,5.00%,5.10%,2.70%,49.08,44.87,9.1,261,1848
北京市,24年第53周（20241230-20240105）,0,0,0,0,--,--,--,--,--,--,0,0
北京市,25年第1周（20250106-20250112）,2497.3万,2262.3万,51.9万,77422,5.70%,5.80%,2.70%,48.1,43.58,6.7,260,0
北京市,25年第2周（20250113-20250119）,1785.3万,1612.4万,37.2万,78011,4.80%,4.90%,2.70%,47.96,43.32,4.8,259,0
北京市,25年第3周（20250120-20250126）,1220.5万,1098.7万,25.3万,75629,3.80%,3.90%,2.70%,48.22,43.41,3.3,262,0
北京市,25年第4周（20250127-20250202）,2.22亿,2.01亿,368.9万,76187,3.10%,3.10%,2.50%,60.41,54.7,48.4,274,0
