地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
吉林省,24年第1周（20240101-20240107）,1533.4万,1397.2万,39.3万,38428,1.50%,1.50%,1.30%,39.01,35.55,10.2,189,0
吉林省,24年第2周（20240108-20240114）,842.0万,757.4万,22.8万,37377,1.40%,1.40%,1.40%,36.77,33.08,6.1,189,0
吉林省,24年第3周（20240115-20240121）,690.4万,608.8万,18.9万,39323,1.30%,1.30%,1.40%,36.43,32.13,4.8,191,0
吉林省,24年第4周（20240122-20240128）,535.5万,468.9万,14.7万,38856,1.30%,1.20%,1.40%,36.26,31.75,3.8,189,0
吉林省,24年第5周（20240129-20240204）,557.9万,503.9万,15.0万,38418,1.70%,1.70%,1.40%,37.16,33.56,3.9,192,0
吉林省,24年第6周（20240205-20240211）,4167.1万,3770.5万,89.1万,36431,1.60%,1.60%,1.30%,46.76,42.31,24.5,196,0
吉林省,24年第7周（20240212-20240218）,9030.9万,8161.1万,194.7万,47588,1.50%,1.50%,1.40%,46.38,41.92,40.9,195,0
吉林省,24年第8周（20240219-20240225）,2870.1万,2615.3万,67.3万,42461,1.50%,1.50%,1.40%,42.6,38.82,15.9,194,0
吉林省,24年第9周（20240226-20240303）,1085.6万,979.5万,26.7万,37479,1.30%,1.30%,1.40%,40.56,36.6,7.1,193,0
吉林省,24年第10周（20240304-20240310）,1086.5万,978.2万,27.7万,36477,1.30%,1.30%,1.40%,39.14,35.24,7.6,193,1075
吉林省,24年第11周（20240311-20240317）,848.9万,770.0万,22.1万,35439,1.50%,1.50%,1.40%,38.4,34.83,6.2,192,1062
吉林省,24年第12周（20240318-20240324）,730.2万,666.7万,18.7万,35562,1.80%,1.80%,1.40%,38.87,35.49,5.3,192,1044
吉林省,24年第13周（20240325-20240331）,811.1万,729.6万,20.3万,35633,1.40%,1.40%,1.40%,39.92,35.91,5.7,188,1040
吉林省,24年第14周（20240401-20240407）,1465.8万,1302.5万,38.0万,39457,1.20%,1.20%,1.30%,38.52,34.23,9.6,189,1060
吉林省,24年第15周（20240408-20240414）,548.2万,488.1万,14.2万,39000,1.20%,1.20%,1.40%,38.6,34.37,3.6,194,1054
吉林省,24年第16周（20240415-20240421）,362.2万,320.7万,9.4万,39290,1.20%,1.10%,1.40%,38.35,33.96,2.4,193,1055
吉林省,24年第17周（20240422-20240428）,445.2万,411.2万,8.8万,36621,1.90%,2.00%,1.40%,50.28,46.44,2.4,191,1031
吉林省,24年第18周（20240429-20240505）,2537.6万,2288.5万,64.0万,41666,1.50%,1.50%,1.30%,39.64,35.75,15.4,191,1079
吉林省,24年第19周（20240506-20240512）,774.9万,691.9万,19.9万,37566,1.60%,1.50%,1.40%,38.85,34.69,5.3,191,1055
吉林省,24年第20周（20240513-20240519）,594.6万,535.7万,15.1万,39672,1.40%,1.40%,1.40%,39.16,35.28,3.8,192,1068
吉林省,24年第21周（20240520-20240526）,528.2万,469.8万,13.5万,40141,1.30%,1.30%,1.40%,39.03,34.72,3.4,191,1067
吉林省,24年第22周（20240527-20240602）,596.3万,527.8万,15.8万,40009,1.40%,1.30%,1.40%,37.72,33.39,4,192,1067
吉林省,24年第23周（20240603-20240609）,654.6万,592.7万,16.6万,40460,1.60%,1.60%,1.40%,39.4,35.68,4.1,192,1071
吉林省,24年第24周（20240610-20240616）,679.6万,618.5万,17.3万,41779,1.40%,1.40%,1.40%,39.2,35.68,4.2,192,1065
吉林省,24年第25周（20240617-20240623）,491.7万,438.3万,12.5万,40864,1.00%,0.90%,1.40%,39.03,34.79,3.1,190,1036
吉林省,24年第26周（20240624-20240630）,708.6万,637.0万,18.3万,39850,1.10%,1.10%,1.40%,38.7,34.79,4.6,192,1053
吉林省,24年第27周（20240701-20240707）,922.4万,830.9万,23.4万,40843,1.10%,1.10%,1.30%,39.27,35.37,5.8,191,1070
吉林省,24年第28周（20240708-20240714）,1457.7万,1309.0万,36.6万,41303,1.20%,1.20%,1.30%,39.82,35.76,8.9,190,1065
吉林省,24年第29周（20240715-20240721）,2626.2万,2350.3万,64.9万,41179,1.40%,1.40%,1.30%,40.45,36.2,15.8,190,1062
吉林省,24年第30周（20240722-20240728）,1730.0万,1543.0万,43.1万,41765,1.30%,1.20%,1.40%,40.13,35.8,10.3,190,1066
吉林省,24年第31周（20240729-20240804）,1298.3万,1159.3万,32.4万,40727,1.30%,1.20%,1.40%,40.06,35.77,8,190,1072
吉林省,24年第32周（20240805-20240811）,1222.5万,1092.2万,30.2万,40724,1.20%,1.20%,1.40%,40.35,36.05,7.4,192,1080
吉林省,24年第33周（20240812-20240818）,1200.3万,1085.8万,30.9万,41554,1.20%,1.20%,1.40%,38.84,35.14,7.4,192,1074
吉林省,24年第34周（20240819-20240825）,943.9万,842.0万,24.1万,40553,0.90%,0.90%,1.30%,39.02,34.8,6,191,1062
吉林省,24年第35周（20240826-20240901）,521.8万,462.2万,13.3万,39702,0.80%,0.80%,1.30%,39.24,34.75,3.4,189,1045
吉林省,24年第36周（20240902-20240908）,342.7万,304.3万,8.7万,38552,1.10%,1.10%,1.40%,39.04,34.67,2.3,189,1036
吉林省,24年第37周（20240909-20240915）,349.0万,312.8万,8.8万,37880,1.20%,1.20%,1.40%,39.24,35.18,2.3,190,1066
吉林省,24年第38周（20240916-20240922）,631.2万,565.3万,16.0万,41005,1.20%,1.20%,1.40%,39.32,35.21,3.9,189,1054
吉林省,24年第39周（20240923-20240929）,265.9万,240.0万,6.6万,37666,1.30%,1.30%,1.40%,39.91,36.03,1.8,191,1026
吉林省,24年第40周（20240930-20241006）,2412.2万,2158.8万,61.3万,44878,1.10%,1.10%,1.40%,39.31,35.18,13.7,191,1081
吉林省,24年第41周（20241007-20241013）,694.8万,622.0万,18.0万,38602,1.30%,1.30%,1.40%,38.49,34.46,4.7,189,1055
吉林省,24年第42周（20241014-20241020）,458.2万,408.6万,12.1万,37049,1.20%,1.20%,1.40%,37.67,33.6,3.3,191,1053
吉林省,24年第43周（20241021-20241027）,833.5万,746.3万,21.3万,38637,1.30%,1.30%,1.40%,39.03,34.94,5.5,190,1050
