地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
四川省,24年第1周（20240101-20240107）,5226.9万,4762.9万,138.4万,168273,5.30%,5.30%,6.10%,37.74,34.39,8.2,749,0
四川省,24年第2周（20240108-20240114）,3027.8万,2754.7万,82.0万,162882,5.30%,5.40%,6.10%,36.9,33.57,5,742,0
四川省,24年第3周（20240115-20240121）,2979.4万,2695.1万,82.1万,167116,5.80%,5.90%,6.00%,36.28,32.82,4.9,747,0
四川省,24年第4周（20240122-20240128）,2454.4万,2212.9万,67.8万,169013,5.90%,6.00%,6.10%,36.18,32.62,4,748,0
四川省,24年第5周（20240129-20240204）,1957.0万,1750.9万,54.5万,163788,6.20%,6.20%,6.00%,35.88,32.1,3.3,750,0
四川省,24年第6周（20240205-20240211）,1.36亿,1.24亿,296.0万,164428,5.20%,5.30%,6.20%,46.09,42.09,18,774,0
四川省,24年第7周（20240212-20240218）,3.19亿,2.93亿,701.6万,205942,5.30%,5.30%,6.10%,45.51,41.79,34.1,771,0
四川省,24年第8周（20240219-20240225）,1.26亿,1.16亿,299.5万,181934,6.60%,6.70%,6.20%,42.32,38.85,16.5,767,0
四川省,24年第9周（20240226-20240303）,4784.9万,4364.2万,120.1万,159429,6.00%,6.00%,6.00%,39.83,36.33,7.5,765,0
四川省,24年第10周（20240304-20240310）,5041.6万,4577.4万,127.8万,155562,6.10%,6.10%,6.00%,39.42,35.79,8.2,761,4644
四川省,24年第11周（20240311-20240317）,3138.8万,2847.3万,79.0万,151165,5.70%,5.80%,6.00%,39.68,36,5.2,756,4621
四川省,24年第12周（20240318-20240324）,2283.3万,2075.1万,58.8万,152495,5.70%,5.70%,6.00%,38.79,35.26,3.9,755,4605
四川省,24年第13周（20240325-20240331）,3313.8万,3011.7万,82.5万,152839,6.00%,6.00%,6.00%,40.13,36.47,5.4,749,4583
四川省,24年第14周（20240401-20240407）,6982.7万,6305.7万,183.6万,173312,5.90%,6.00%,6.10%,38.03,34.34,10.6,754,4632
四川省,24年第15周（20240408-20240414）,2448.2万,2218.0万,64.4万,164934,5.70%,5.70%,6.00%,37.98,34.41,3.9,746,4569
四川省,24年第16周（20240415-20240421）,1688.0万,1530.5万,44.4万,164491,5.60%,5.70%,6.00%,38.01,34.46,2.7,742,4560
四川省,24年第17周（20240422-20240428）,1178.8万,1069.4万,30.8万,155923,5.20%,5.20%,6.00%,38.18,34.64,2,744,4534
四川省,24年第18周（20240429-20240505）,8716.0万,7946.2万,227.0万,181523,5.20%,5.30%,6.00%,38.39,35,12.5,754,4643
四川省,24年第19周（20240506-20240512）,2808.3万,2568.0万,72.8万,155996,5.80%,5.90%,6.00%,38.53,35.23,4.7,745,4596
四川省,24年第20周（20240513-20240519）,2432.1万,2237.1万,62.1万,166024,6.10%,6.20%,6.00%,39.13,35.99,3.7,749,4624
四川省,24年第21周（20240520-20240526）,2295.1万,2104.0万,58.6万,167161,5.70%,5.80%,6.00%,39.1,35.85,3.5,744,4604
四川省,24年第22周（20240527-20240602）,2699.6万,2473.4万,70.8万,167639,6.40%,6.50%,6.10%,38.08,34.89,4.2,747,4606
四川省,24年第23周（20240603-20240609）,2213.1万,2004.4万,59.2万,168568,5.40%,5.40%,6.10%,37.32,33.81,3.5,750,4628
