地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
天津市,24年第1周（20240101-20240107）,1563.7万,1400.0万,36.7万,29490,1.50%,1.50%,1.00%,42.55,38.1,12.5,107,0
天津市,24年第2周（20240108-20240114）,993.5万,884.1万,24.8万,29205,1.70%,1.70%,1.00%,39.98,35.58,8.5,107,0
天津市,24年第3周（20240115-20240121）,839.2万,749.4万,21.0万,30636,1.60%,1.60%,1.10%,39.93,35.66,6.9,107,0
天津市,24年第4周（20240122-20240128）,628.0万,563.2万,15.8万,30187,1.50%,1.50%,1.00%,39.74,35.64,5.2,106,0
天津市,24年第5周（20240129-20240204）,410.4万,368.0万,10.3万,28903,1.30%,1.30%,1.00%,39.64,35.54,3.6,108,0
天津市,24年第6周（20240205-20240211）,4032.2万,3645.5万,77.6万,27794,1.50%,1.50%,1.00%,51.95,46.97,27.9,114,0
天津市,24年第7周（20240212-20240218）,9442.7万,8540.8万,184.8万,35661,1.50%,1.50%,1.00%,51.08,46.2,51.8,114,0
天津市,24年第8周（20240219-20240225）,2882.4万,2618.6万,62.9万,30881,1.50%,1.50%,1.00%,45.77,41.59,20.4,114,0
天津市,24年第9周（20240226-20240303）,1152.3万,1044.2万,27.2万,28774,1.40%,1.40%,1.00%,42.21,38.25,9.5,114,0
天津市,24年第10周（20240304-20240310）,1168.4万,1054.6万,28.0万,27799,1.40%,1.40%,1.00%,41.63,37.58,10.1,114,788
天津市,24年第11周（20240311-20240317）,772.0万,697.6万,18.4万,27060,1.40%,1.40%,1.00%,41.89,37.85,6.8,114,790
天津市,24年第12周（20240318-20240324）,610.0万,551.0万,14.6万,27750,1.50%,1.50%,1.10%,41.52,37.51,5.3,114,785
天津市,24年第13周（20240325-20240331）,795.8万,719.7万,18.7万,27878,1.40%,1.40%,1.10%,42.35,38.31,6.7,114,782
天津市,24年第14周（20240401-20240407）,1698.7万,1520.6万,41.0万,30952,1.40%,1.40%,1.00%,41.4,37.06,13.3,114,780
天津市,24年第15周（20240408-20240414）,601.1万,537.5万,14.6万,29993,1.40%,1.30%,1.10%,41.03,36.68,4.9,114,775
天津市,24年第16周（20240415-20240421）,425.2万,381.7万,10.3万,30161,1.40%,1.40%,1.10%,41.23,37.02,3.4,113,773
天津市,24年第17周（20240422-20240428）,443.2万,412.8万,10.4万,28534,1.90%,2.00%,1.10%,42.53,39.62,3.7,115,765
天津市,24年第18周（20240429-20240505）,2759.5万,2493.8万,65.5万,33900,1.60%,1.60%,1.10%,42.11,38.06,19.3,115,794
天津市,24年第19周（20240506-20240512）,950.3万,873.6万,22.5万,29669,1.90%,2.00%,1.10%,42.09,38.7,7.6,114,786
天津市,24年第20周（20240513-20240519）,713.7万,651.7万,16.9万,30474,1.70%,1.80%,1.10%,42.1,38.44,5.6,114,786
天津市,24年第21周（20240520-20240526）,601.0万,542.4万,14.3万,30884,1.50%,1.50%,1.10%,41.9,37.82,4.6,113,781
天津市,24年第22周（20240527-20240602）,723.2万,649.5万,17.9万,30646,1.70%,1.70%,1.10%,40.19,36.09,5.9,114,786
天津市,24年第23周（20240603-20240609）,635.9万,571.4万,15.6万,30765,1.50%,1.50%,1.10%,40.64,36.51,5.1,114,786
天津市,24年第24周（20240610-20240616）,704.9万,632.3万,17.4万,32273,1.50%,1.50%,1.10%,40.46,36.29,5.4,114,786
天津市,24年第25周（20240617-20240623）,613.0万,548.0万,15.0万,31803,1.20%,1.20%,1.10%,40.73,36.41,4.7,114,784
天津市,24年第26周（20240624-20240630）,910.7万,812.6万,22.4万,31128,1.50%,1.50%,1.10%,40.6,36.23,7.2,114,788
天津市,24年第27周（20240701-20240707）,1175.6万,1047.4万,28.6万,32800,1.50%,1.40%,1.10%,41.01,36.54,8.7,114,794
天津市,24年第28周（20240708-20240714）,1890.9万,1697.0万,45.7万,33263,1.60%,1.50%,1.10%,41.32,37.08,13.8,114,799
天津市,24年第29周（20240715-20240721）,3114.8万,2815.6万,75.3万,33042,1.70%,1.70%,1.10%,41.36,37.38,22.8,114,804
天津市,24年第30周（20240722-20240728）,2150.3万,1939.5万,51.0万,32865,1.60%,1.60%,1.10%,42.1,37.97,15.5,114,807
天津市,24年第31周（20240729-20240804）,1505.7万,1356.6万,36.3万,31722,1.50%,1.50%,1.10%,41.46,37.35,11.4,114,807
天津市,24年第32周（20240805-20240811）,1416.6万,1277.6万,34.2万,31843,1.40%,1.40%,1.10%,41.37,37.31,10.8,114,803
天津市,24年第33周（20240812-20240818）,1348.0万,1215.7万,33.3万,32160,1.40%,1.40%,1.10%,40.41,36.45,10.4,114,801
天津市,24年第34周（20240819-20240825）,1400.8万,1263.3万,34.9万,32609,1.40%,1.40%,1.00%,40.13,36.19,10.7,114,799
天津市,24年第35周（20240826-20240901）,946.3万,860.0万,24.1万,32223,1.50%,1.60%,1.00%,39.15,35.58,7.5,113,786
天津市,24年第36周（20240902-20240908）,411.2万,368.9万,10.3万,29373,1.40%,1.40%,1.00%,39.86,35.76,3.5,114,773
天津市,24年第37周（20240909-20240915）,400.3万,362.1万,10.0万,28838,1.40%,1.40%,1.10%,39.92,36.12,3.5,115,790
天津市,24年第38周（20240916-20240922）,774.8万,699.1万,19.0万,31512,1.50%,1.50%,1.10%,40.69,36.72,6,114,783
天津市,24年第39周（20240923-20240929）,303.5万,275.2万,7.6万,28940,1.50%,1.40%,1.10%,39.85,36.14,2.6,115,777
天津市,24年第40周（20240930-20241006）,2788.9万,2520.5万,66.7万,35317,1.30%,1.30%,1.10%,41.81,37.79,18.9,118,829
天津市,24年第41周（20241007-20241013）,831.0万,753.7万,20.5万,31090,1.60%,1.60%,1.10%,40.42,36.66,6.6,118,814
天津市,24年第42周（20241014-20241020）,574.3万,519.9万,14.4万,29526,1.50%,1.50%,1.10%,39.69,35.94,4.9,116,803
天津市,24年第43周（20241021-20241027）,985.2万,889.0万,24.3万,30891,1.50%,1.50%,1.10%,40.54,36.58,7.9,116,801
天津市,24年第44周（20241028-20241103）,737.6万,662.7万,18.4万,31380,1.50%,1.50%,1.10%,39.89,35.84,5.9,116,803
天津市,24年第45周（20241104-20241110）,647.1万,579.4万,16.3万,30595,1.50%,1.50%,1.10%,39.64,35.49,5.3,115,797
天津市,24年第46周（20241111-20241117）,492.5万,441.3万,12.5万,30318,1.40%,1.40%,1.10%,39.3,35.22,4.1,115,792
天津市,24年第47周（20241118-20241124）,647.8万,581.8万,16.3万,29351,1.50%,1.50%,1.10%,39.6,35.56,5.6,115,795
天津市,24年第48周（20241125-20241201）,777.5万,701.0万,19.6万,30419,1.50%,1.50%,1.10%,39.62,35.72,6.5,115,797
天津市,24年第49周（20241202-20241208）,610.6万,550.4万,15.5万,30641,1.40%,1.40%,1.10%,39.27,35.4,5.1,115,792
天津市,24年第50周（20241209-20241215）,506.2万,459.1万,13.0万,30076,1.30%,1.30%,1.10%,38.85,35.23,4.3,114,793
天津市,24年第51周（20241216-20241222）,516.5万,465.8万,12.9万,28694,1.30%,1.30%,1.10%,39.89,35.97,4.5,112,783
天津市,24年第52周（20241223-20241229）,818.5万,739.7万,20.2万,29548,1.30%,1.30%,1.10%,40.37,36.48,6.9,113,790
天津市,24年第53周（20241230-20240105）,0,0,0,0,--,--,--,--,--,--,0,0
天津市,25年第1周（20250106-20250112）,763.2万,682.0万,19.4万,32141,1.70%,1.70%,1.10%,39.22,35.05,6.1,110,0
天津市,25年第2周（20250113-20250119）,519.8万,463.9万,13.4万,32394,1.40%,1.40%,1.10%,38.52,34.37,4.2,113,0
天津市,25年第3周（20250120-20250126）,364.7万,324.2万,9.2万,32070,1.10%,1.10%,1.10%,39.34,34.97,2.9,119,0
天津市,25年第4周（20250127-20250202）,9647.3万,8679.5万,182.4万,33464,1.30%,1.30%,1.10%,52.89,47.58,54.5,122,0
