地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
宁夏回族自治区,24年第1周（20240101-20240107）,497.5万,453.8万,12.2万,12709,0.50%,0.50%,0.40%,40.66,37.09,9.6,64,0
宁夏回族自治区,24年第2周（20240108-20240114）,329.8万,300.4万,8.5万,12480,0.50%,0.50%,0.40%,38.76,35.3,6.8,63,0
宁夏回族自治区,24年第3周（20240115-20240121）,309.1万,282.1万,8.0万,12692,0.60%,0.60%,0.40%,38.22,34.87,6.4,63,0
宁夏回族自治区,24年第4周（20240122-20240128）,247.4万,225.5万,6.4万,12703,0.60%,0.60%,0.40%,38.22,34.84,5.1,64,0
宁夏回族自治区,24年第5周（20240129-20240204）,176.3万,160.0万,4.5万,12422,0.50%,0.50%,0.40%,38.7,35.14,3.7,64,0
宁夏回族自治区,24年第6周（20240205-20240211）,1320.5万,1195.3万,28.4万,12571,0.50%,0.50%,0.40%,46.49,42.09,22.6,68,0
宁夏回族自治区,24年第7周（20240212-20240218）,3277.0万,2979.3万,71.2万,16726,0.50%,0.50%,0.40%,46,41.82,42.6,68,0
宁夏回族自治区,24年第8周（20240219-20240225）,1038.7万,944.9万,23.5万,14330,0.50%,0.50%,0.40%,44.14,40.15,16.4,68,0
宁夏回族自治区,24年第9周（20240226-20240303）,399.1万,363.8万,9.3万,12776,0.50%,0.50%,0.40%,42.64,38.86,7.3,68,0
宁夏回族自治区,24年第10周（20240304-20240310）,379.5万,345.9万,9.1万,12466,0.40%,0.40%,0.40%,41.54,37.87,7.3,68,378
宁夏回族自治区,24年第11周（20240311-20240317）,243.4万,220.7万,5.8万,12169,0.40%,0.40%,0.40%,41.71,37.83,4.8,66,371
宁夏回族自治区,24年第12周（20240318-20240324）,198.5万,180.1万,4.8万,12360,0.40%,0.40%,0.40%,41.3,37.45,3.9,64,361
宁夏回族自治区,24年第13周（20240325-20240331）,249.9万,226.9万,5.9万,12588,0.40%,0.40%,0.40%,42.35,38.47,4.7,66,370
宁夏回族自治区,24年第14周（20240401-20240407）,486.4万,439.8万,11.9万,13845,0.40%,0.40%,0.40%,40.68,36.78,8.6,66,373
宁夏回族自治区,24年第15周（20240408-20240414）,287.1万,260.8万,7.1万,14342,0.60%,0.60%,0.50%,40.29,36.59,5,66,371
宁夏回族自治区,24年第16周（20240415-20240421）,133.9万,121.5万,3.2万,13855,0.40%,0.40%,0.50%,40.72,36.94,2.4,65,369
宁夏回族自治区,24年第17周（20240422-20240428）,92.7万,83.8万,2.2万,13330,0.40%,0.40%,0.50%,40.77,36.83,1.7,66,373
宁夏回族自治区,24年第18周（20240429-20240505）,699.8万,637.0万,17.4万,15027,0.40%,0.40%,0.50%,40.03,36.44,11.6,67,376
宁夏回族自治区,24年第19周（20240506-20240512）,211.6万,192.2万,5.3万,13410,0.40%,0.40%,0.50%,39.41,35.81,4,66,373
宁夏回族自治区,24年第20周（20240513-20240519）,183.4万,166.6万,4.5万,14140,0.40%,0.40%,0.50%,40.18,36.51,3.2,66,372
宁夏回族自治区,24年第21周（20240520-20240526）,195.9万,178.7万,4.9万,14469,0.40%,0.40%,0.50%,39.99,36.48,3.4,66,367
宁夏回族自治区,24年第22周（20240527-20240602）,195.5万,178.3万,5.0万,14200,0.40%,0.40%,0.50%,38.81,35.39,3.5,66,373
宁夏回族自治区,24年第23周（20240603-20240609）,179.4万,162.5万,4.6万,14252,0.40%,0.40%,0.50%,38.95,35.28,3.2,65,372
宁夏回族自治区,24年第24周（20240610-20240616）,191.5万,173.0万,4.9万,14916,0.40%,0.40%,0.50%,38.65,34.91,3.3,67,380
宁夏回族自治区,24年第25周（20240617-20240623）,219.6万,199.1万,5.5万,15357,0.40%,0.40%,0.50%,39.41,35.73,3.6,67,379
宁夏回族自治区,24年第26周（20240624-20240630）,214.1万,194.5万,5.3万,13917,0.30%,0.30%,0.40%,40.39,36.7,3.8,66,372
宁夏回族自治区,24年第27周（20240701-20240707）,313.1万,283.4万,7.6万,14545,0.40%,0.40%,0.40%,41.05,37.15,5.2,67,377
宁夏回族自治区,24年第28周（20240708-20240714）,557.1万,508.9万,13.6万,15036,0.40%,0.40%,0.50%,40.79,37.26,9.1,67,381
宁夏回族自治区,24年第29周（20240715-20240721）,832.7万,764.8万,20.5万,15028,0.40%,0.40%,0.50%,40.5,37.2,13.7,68,379
宁夏回族自治区,24年第30周（20240722-20240728）,674.4万,618.6万,16.5万,14912,0.50%,0.50%,0.50%,40.87,37.49,11.1,70,391
宁夏回族自治区,24年第31周（20240729-20240804）,481.6万,441.0万,11.8万,14620,0.40%,0.40%,0.50%,40.79,37.35,8.1,69,391
宁夏回族自治区,24年第32周（20240805-20240811）,477.3万,435.6万,11.6万,14721,0.40%,0.40%,0.50%,41.08,37.5,7.9,69,397
