地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
安徽省,24年第1周（20240101-20240107）,3173.1万,2855.3万,83.4万,103788,3.20%,3.20%,3.70%,38.03,34.22,8,448,0
安徽省,24年第2周（20240108-20240114）,1770.7万,1594.2万,47.0万,99439,3.10%,3.10%,3.70%,37.65,33.9,4.7,448,0
安徽省,24年第3周（20240115-20240121）,1560.6万,1387.9万,43.0万,101446,3.00%,3.00%,3.70%,36.24,32.23,4.2,448,0
安徽省,24年第4周（20240122-20240128）,1456.6万,1302.1万,40.9万,103056,3.50%,3.50%,3.70%,35.6,31.83,4,449,0
安徽省,24年第5周（20240129-20240204）,1131.1万,1005.9万,31.6万,100881,3.50%,3.50%,3.70%,35.79,31.83,3.1,449,0
安徽省,24年第6周（20240205-20240211）,1.26亿,1.14亿,249.7万,100930,4.80%,4.80%,3.80%,50.8,45.78,24.7,465,0
安徽省,24年第7周（20240212-20240218）,2.89亿,2.62亿,588.8万,131431,4.80%,4.80%,3.90%,49.1,44.58,44.8,465,0
安徽省,24年第8周（20240219-20240225）,8756.4万,8011.7万,197.1万,114195,4.60%,4.60%,3.80%,44.41,40.63,17.3,464,0
安徽省,24年第9周（20240226-20240303）,3066.1万,2800.0万,75.7万,100160,3.80%,3.80%,3.80%,40.48,36.96,7.6,464,0
安徽省,24年第10周（20240304-20240310）,2670.4万,2419.6万,68.1万,96595,3.20%,3.20%,3.70%,39.18,35.5,7.1,463,2853
安徽省,24年第11周（20240311-20240317）,1788.3万,1612.9万,45.7万,93493,3.20%,3.20%,3.70%,39.09,35.26,4.9,462,2835
安徽省,24年第12周（20240318-20240324）,1439.8万,1298.4万,37.3万,94234,3.50%,3.50%,3.70%,38.58,34.79,4,462,2811
安徽省,24年第13周（20240325-20240331）,1895.7万,1706.2万,47.3万,96344,3.40%,3.40%,3.80%,40.06,36.06,4.9,459,2813
安徽省,24年第14周（20240401-20240407）,4661.1万,4175.0万,122.3万,107708,3.90%,3.90%,3.70%,38.09,34.12,11.4,460,2845
安徽省,24年第15周（20240408-20240414）,1469.2万,1317.4万,38.4万,102007,3.40%,3.40%,3.70%,38.22,34.27,3.8,455,2803
安徽省,24年第16周（20240415-20240421）,1027.6万,922.6万,26.7万,101559,3.40%,3.40%,3.70%,38.36,34.44,2.6,454,2792
安徽省,24年第17周（20240422-20240428）,679.1万,608.1万,17.6万,95017,3.00%,2.90%,3.70%,38.53,34.51,1.9,455,2776
安徽省,24年第18周（20240429-20240505）,6109.9万,5522.9万,159.5万,112298,3.70%,3.70%,3.70%,38.3,34.62,14.2,460,2843
