地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
山东省,24年第1周（20240101-20240107）,4936.7万,4467.1万,127.1万,172206,5.00%,5.00%,6.20%,38.82,35.13,7.4,678,0
山东省,24年第2周（20240108-20240114）,2816.3万,2553.6万,74.4万,166686,5.00%,5.00%,6.20%,37.82,34.29,4.5,676,0
山东省,24年第3周（20240115-20240121）,2513.1万,2277.6万,66.9万,171132,4.90%,5.00%,6.20%,37.52,34,3.9,676,0
山东省,24年第4周（20240122-20240128）,2097.2万,1887.3万,57.9万,171924,5.10%,5.10%,6.20%,36.17,32.55,3.4,679,0
山东省,24年第5周（20240129-20240204）,1536.3万,1377.3万,42.4万,170741,4.80%,4.80%,6.30%,36.21,32.46,2.5,682,0
山东省,24年第6周（20240205-20240211）,2.08亿,1.87亿,412.5万,164163,8.00%,7.90%,6.20%,50.46,45.51,25.1,700,0
山东省,24年第7周（20240212-20240218）,4.39亿,3.97亿,904.6万,210552,7.30%,7.30%,6.20%,48.57,43.98,43,701,0
山东省,24年第8周（20240219-20240225）,1.06亿,9673.1万,244.5万,185591,5.50%,5.50%,6.30%,43.41,39.55,13.2,698,0
山东省,24年第9周（20240226-20240303）,3805.5万,3453.4万,93.8万,164267,4.80%,4.80%,6.20%,40.54,36.79,5.7,696,0
山东省,24年第10周（20240304-20240310）,3642.1万,3302.1万,91.6万,161731,4.40%,4.40%,6.30%,39.72,36.01,5.7,695,4567
山东省,24年第11周（20240311-20240317）,2346.5万,2123.7万,59.6万,158653,4.30%,4.30%,6.30%,39.37,35.63,3.8,692,4539
山东省,24年第12周（20240318-20240324）,1830.5万,1656.9万,46.8万,158629,4.50%,4.50%,6.30%,39.09,35.38,3,693,4482
山东省,24年第13周（20240325-20240331）,2444.4万,2211.3万,60.7万,159757,4.40%,4.40%,6.30%,40.25,36.41,3.8,692,4517
山东省,24年第14周（20240401-20240407）,5679.2万,5101.9万,148.5万,180514,4.80%,4.80%,6.30%,38.22,34.34,8.2,692,4567
山东省,24年第15周（20240408-20240414）,1908.6万,1721.3万,49.8万,173914,4.40%,4.40%,6.30%,38.3,34.54,2.9,691,4502
山东省,24年第16周（20240415-20240421）,1359.0万,1229.8万,35.6万,173791,4.50%,4.50%,6.40%,38.07,34.45,2.1,691,4499
山东省,24年第17周（20240422-20240428）,962.0万,868.4万,24.5万,163582,4.20%,4.20%,6.30%,39.26,35.44,1.5,693,4464
山东省,24年第18周（20240429-20240505）,8380.7万,7583.0万,217.3万,190688,5.00%,5.00%,6.30%,38.57,34.9,11.4,697,4604
山东省,24年第19周（20240506-20240512）,2100.1万,1890.4万,54.7万,167564,4.30%,4.30%,6.40%,38.36,34.53,3.3,693,4539
山东省,24年第20周（20240513-20240519）,1875.0万,1697.0万,47.9万,178310,4.70%,4.70%,6.50%,39.12,35.4,2.7,693,4563
山东省,24年第21周（20240520-20240526）,2118.4万,1945.2万,52.7万,179784,5.30%,5.30%,6.50%,40.2,36.91,2.9,691,4536
山东省,24年第22周（20240527-20240602）,1882.2万,1707.0万,50.0万,176289,4.40%,4.40%,6.40%,37.64,34.14,2.8,689,4532
山东省,24年第23周（20240603-20240609）,1964.0万,1768.4万,52.0万,178650,4.80%,4.80%,6.40%,37.77,34.01,2.9,693,4571
山东省,24年第24周（20240610-20240616）,2353.7万,2115.2万,62.5万,187962,5.00%,5.00%,6.40%,37.65,33.84,3.3,692,4553
山东省,24年第25周（20240617-20240623）,2567.3万,2320.9万,66.7万,187040,5.20%,5.20%,6.50%,38.47,34.78,3.6,690,4515
山东省,24年第26周（20240624-20240630）,2792.4万,2534.6万,71.5万,181423,4.60%,4.60%,6.40%,39.02,35.41,3.9,693,4541
山东省,24年第27周（20240701-20240707）,3932.8万,3562.3万,98.1万,185719,5.00%,5.00%,6.30%,40.08,36.31,5.3,692,4559
