地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
山西省,24年第1周（20240101-20240107）,1846.8万,1686.2万,47.7万,63117,1.80%,1.90%,2.20%,38.68,35.32,7.6,323,0
山西省,24年第2周（20240108-20240114）,971.7万,886.4万,26.0万,61616,1.70%,1.70%,2.30%,37.24,33.97,4.2,325,0
山西省,24年第3周（20240115-20240121）,792.0万,715.4万,21.4万,63382,1.50%,1.50%,2.30%,36.91,33.34,3.4,331,0
山西省,24年第4周（20240122-20240128）,772.9万,700.8万,21.1万,63551,1.80%,1.90%,2.30%,36.63,33.22,3.3,331,0
山西省,24年第5周（20240129-20240204）,571.7万,518.4万,15.6万,63500,1.80%,1.80%,2.30%,36.48,33.07,2.5,334,0
山西省,24年第6周（20240205-20240211）,7644.7万,6981.2万,152.2万,62411,2.90%,2.90%,2.30%,50.22,45.86,24.4,340,0
山西省,24年第7周（20240212-20240218）,1.72亿,1.57亿,353.1万,79131,2.80%,2.80%,2.30%,48.72,44.54,44.6,339,0
山西省,24年第8周（20240219-20240225）,4893.5万,4472.7万,109.6万,69234,2.50%,2.50%,2.30%,44.64,40.8,15.8,339,0
山西省,24年第9周（20240226-20240303）,1513.4万,1380.4万,37.0万,60408,1.90%,1.90%,2.30%,40.81,37.23,6.1,337,0
山西省,24年第10周（20240304-20240310）,1410.1万,1284.7万,35.3万,59331,1.70%,1.70%,2.30%,39.87,36.32,6,337,1698
山西省,24年第11周（20240311-20240317）,901.2万,816.4万,22.8万,57569,1.60%,1.60%,2.30%,39.5,35.79,4,333,1679
山西省,24年第12周（20240318-20240324）,728.8万,657.1万,18.4万,59259,1.80%,1.80%,2.30%,39.44,35.56,3.1,334,1687
山西省,24年第13周（20240325-20240331）,811.2万,730.9万,20.0万,58270,1.40%,1.40%,2.30%,40.38,36.39,3.4,335,1688
山西省,24年第14周（20240401-20240407）,1787.6万,1600.5万,46.6万,65085,1.50%,1.50%,2.20%,38.32,34.31,7.2,333,1697
山西省,24年第15周（20240408-20240414）,665.4万,601.1万,17.3万,63303,1.50%,1.50%,2.30%,38.45,34.73,2.7,332,1677
山西省,24年第16周（20240415-20240421）,581.0万,533.3万,15.1万,64404,1.90%,1.90%,2.30%,38.37,35.21,2.4,333,1691
山西省,24年第17周（20240422-20240428）,354.1万,320.3万,9.1万,61205,1.50%,1.50%,2.30%,38.76,35.05,1.5,332,1676
