地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
广东省,24年第1周（20240101-20240107）,1.37亿,1.24亿,330.5万,316944,13.90%,14.00%,11.50%,41.57,37.59,10.4,1276,0
广东省,24年第2周（20240108-20240114）,7699.5万,6954.8万,187.9万,307569,13.70%,13.70%,11.50%,40.96,36.99,6.1,1274,0
广东省,24年第3周（20240115-20240121）,7534.6万,6783.9万,189.0万,318360,14.80%,14.90%,11.60%,39.86,35.89,5.9,1273,0
广东省,24年第4周（20240122-20240128）,5576.8万,5016.0万,140.0万,321963,13.50%,13.60%,11.60%,39.82,35.81,4.4,1278,0
广东省,24年第5周（20240129-20240204）,3930.5万,3528.0万,99.7万,308363,12.50%,12.50%,11.40%,39.42,35.38,3.2,1287,0
广东省,24年第6周（20240205-20240211）,2.14亿,1.92亿,454.0万,302892,8.20%,8.20%,11.40%,47.22,42.47,15,1311,0
广东省,24年第7周（20240212-20240218）,5.16亿,4.66亿,1096.8万,379736,8.60%,8.50%,11.20%,47.08,42.5,28.9,1311,0
广东省,24年第8周（20240219-20240225）,2.00亿,1.83亿,455.7万,332765,10.50%,10.50%,11.30%,44.07,40.21,13.7,1311,0
广东省,24年第9周（20240226-20240303）,1.09亿,9948.9万,258.9万,299433,13.70%,13.80%,11.40%,42.15,38.42,8.6,1311,0
广东省,24年第10周（20240304-20240310）,1.18亿,1.07亿,280.8万,293962,14.40%,14.40%,11.40%,42.27,38.17,9.6,1306,8462
广东省,24年第11周（20240311-20240317）,7569.1万,6807.3万,178.5万,286613,13.90%,13.90%,11.50%,42.39,38.13,6.2,1302,8422
广东省,24年第12周（20240318-20240324）,5263.3万,4739.5万,125.2万,286567,13.10%,13.10%,11.40%,42.01,37.83,4.4,1298,8335
广东省,24年第13周（20240325-20240331）,8051.8万,7255.4万,187.7万,290418,14.60%,14.60%,11.40%,42.88,38.64,6.5,1296,8312
广东省,24年第14周（20240401-20240407）,1.53亿,1.37亿,375.1万,325635,13.10%,13.10%,11.40%,40.9,36.54,11.5,1293,8355
广东省,24年第15周（20240408-20240414）,5907.5万,5302.0万,144.8万,309259,13.80%,13.70%,11.30%,40.77,36.59,4.7,1284,8280
广东省,24年第16周（20240415-20240421）,3991.3万,3586.4万,97.6万,306976,13.40%,13.30%,11.30%,40.86,36.71,3.2,1284,8255
广东省,24年第17周（20240422-20240428）,3450.0万,3112.8万,84.1万,288708,15.20%,15.20%,11.20%,41,37,2.9,1277,8165
广东省,24年第18周（20240429-20240505）,2.34亿,2.12亿,563.6万,342558,14.20%,14.20%,11.40%,41.59,37.69,16.5,1290,8363
广东省,24年第19周（20240506-20240512）,7625.5万,6928.9万,183.6万,291351,15.80%,15.90%,11.20%,41.52,37.72,6.3,1287,8296
广东省,24年第20周（20240513-20240519）,6250.3万,5679.1万,150.4万,305737,15.70%,15.70%,11.20%,41.53,37.74,4.9,1285,8322
广东省,24年第21周（20240520-20240526）,6064.0万,5507.9万,146.6万,308000,15.20%,15.20%,11.10%,41.34,37.55,4.8,1284,8300
广东省,24年第22周（20240527-20240602）,6023.4万,5455.9万,149.6万,304458,14.30%,14.30%,11.10%,40.24,36.45,4.9,1284,8301
广东省,24年第23周（20240603-20240609）,6268.3万,5666.9万,151.9万,308570,15.30%,15.40%,11.10%,41.26,37.3,4.9,1290,8344
广东省,24年第24周（20240610-20240616）,7080.2万,6430.8万,172.7万,328363,15.30%,15.40%,11.20%,40.99,37.23,5.3,1283,8279
广东省,24年第25周（20240617-20240623）,5868.3万,5351.5万,141.2万,318626,11.90%,12.00%,11.10%,41.54,37.88,4.4,1285,8253
广东省,24年第26周（20240624-20240630）,7172.1万,6531.4万,169.2万,310956,12.00%,12.00%,11.00%,42.38,38.59,5.4,1283,8272
广东省,24年第27周（20240701-20240707）,1.00亿,9106.8万,234.7万,323488,12.80%,12.90%,11.00%,42.61,38.79,7.3,1286,8314
广东省,24年第28周（20240708-20240714）,1.50亿,1.36亿,355.0万,341858,12.70%,12.80%,11.40%,42.27,38.5,10.4,1291,8386
广东省,24年第29周（20240715-20240721）,1.98亿,1.80亿,470.8万,343888,11.30%,11.30%,11.50%,42.14,38.37,13.7,1292,8395
广东省,24年第30周（20240722-20240728）,1.71亿,1.55亿,405.1万,345961,12.90%,12.90%,11.60%,42.21,38.39,11.7,1300,8456
广东省,24年第31周（20240729-20240804）,1.27亿,1.15亿,299.6万,333909,12.70%,12.80%,11.60%,42.39,38.53,9,1300,8481
广东省,24年第32周（20240805-20240811）,1.17亿,1.07亿,276.1万,331533,11.90%,12.00%,11.50%,42.73,38.82,8.3,1303,8476
广东省,24年第33周（20240812-20240818）,1.24亿,1.12亿,294.1万,336095,13.30%,13.30%,11.50%,42.31,38.21,8.8,1302,8457
广东省,24年第34周（20240819-20240825）,1.28亿,1.16亿,316.9万,345924,13.20%,13.30%,11.50%,40.69,36.75,9.2,1305,8451
广东省,24年第35周（20240826-20240901）,7794.9万,7041.7万,191.8万,339830,13.10%,13.10%,11.50%,40.63,36.7,5.6,1303,8384
广东省,24年第36周（20240902-20240908）,3985.5万,3603.9万,96.6万,299566,13.70%,13.80%,11.10%,41.23,37.28,3.2,1292,8192
广东省,24年第37周（20240909-20240915）,3690.2万,3363.6万,88.8万,291032,13.10%,13.10%,11.20%,41.53,37.85,3.1,1295,8346
广东省,24年第38周（20240916-20240922）,7121.1万,6490.2万,170.4万,319865,14.10%,14.20%,11.30%,41.77,38.07,5.3,1290,8277
广东省,24年第39周（20240923-20240929）,2580.0万,2358.2万,61.4万,283425,12.80%,12.80%,11.10%,42,38.39,2.2,1287,8116
广东省,24年第40周（20240930-20241006）,2.45亿,2.24亿,587.6万,358465,12.00%,12.00%,11.20%,41.85,38.16,16.4,1298,8433
