地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
广西壮族自治区,24年第1周（20240101-20240107）,1795.6万,1620.6万,47.5万,59552,1.80%,1.80%,2.10%,37.74,34.06,8,293,0
广西壮族自治区,24年第2周（20240108-20240114）,946.5万,849.4万,25.7万,57759,1.60%,1.60%,2.10%,36.75,32.98,4.5,289,0
广西壮族自治区,24年第3周（20240115-20240121）,919.9万,822.2万,25.3万,59437,1.80%,1.80%,2.10%,36.27,32.42,4.3,287,0
广西壮族自治区,24年第4周（20240122-20240128）,762.8万,681.6万,20.8万,60139,1.80%,1.80%,2.10%,36.52,32.63,3.5,286,0
广西壮族自治区,24年第5周（20240129-20240204）,634.7万,564.6万,17.5万,59341,2.00%,2.00%,2.20%,36.15,32.16,3,288,0
广西壮族自治区,24年第6周（20240205-20240211）,3982.8万,3614.9万,89.9万,57125,1.50%,1.50%,2.10%,44.3,40.21,15.7,299,0
广西壮族自治区,24年第7周（20240212-20240218）,1.10亿,1.01亿,252.5万,74221,1.80%,1.80%,2.20%,43.57,40.04,34,297,0
广西壮族自治区,24年第8周（20240219-20240225）,4346.7万,3994.9万,104.4万,65751,2.20%,2.30%,2.20%,41.61,38.24,15.9,296,0
广西壮族自治区,24年第9周（20240226-20240303）,1683.0万,1533.6万,42.3万,57601,2.10%,2.10%,2.20%,39.76,36.23,7.3,297,0
广西壮族自治区,24年第10周（20240304-20240310）,1744.8万,1591.8万,44.6万,56187,2.10%,2.10%,2.10%,39.09,35.66,7.9,295,1612
广西壮族自治区,24年第11周（20240311-20240317）,1121.3万,1017.2万,28.8万,53885,2.00%,2.00%,2.10%,38.85,35.24,5.4,293,1596
广西壮族自治区,24年第12周（20240318-20240324）,767.0万,695.9万,19.7万,53819,1.90%,1.90%,2.10%,38.8,35.21,3.7,291,1582
广西壮族自治区,24年第13周（20240325-20240331）,1152.2万,1046.1万,28.5万,54298,2.00%,2.10%,2.10%,40.29,36.58,5.3,290,1576
广西壮族自治区,24年第14周（20240401-20240407）,2019.2万,1828.5万,52.6万,60447,1.70%,1.70%,2.10%,38.33,34.71,8.7,291,1598
广西壮族自治区,24年第15周（20240408-20240414）,1494.5万,1365.7万,39.3万,61600,3.40%,3.50%,2.20%,38.01,34.74,6.4,288,1568
广西壮族自治区,24年第16周（20240415-20240421）,564.4万,513.4万,14.8万,57474,1.90%,1.90%,2.10%,38.13,34.68,2.6,291,1573
广西壮族自治区,24年第17周（20240422-20240428）,437.3万,396.8万,11.4万,54012,1.90%,1.90%,2.10%,38.2,34.67,2.1,287,1552
广西壮族自治区,24年第18周（20240429-20240505）,3633.0万,3316.0万,93.8万,64467,2.20%,2.20%,2.10%,38.73,35.35,14.6,292,1600
广西壮族自治区,24年第19周（20240506-20240512）,1001.5万,906.8万,26.1万,53756,2.00%,2.00%,2.00%,38.26,34.64,4.9,288,1566
广西壮族自治区,24年第20周（20240513-20240519）,835.9万,755.5万,21.9万,57814,2.10%,2.00%,2.10%,38.14,34.47,3.8,290,1567
广西壮族自治区,24年第21周（20240520-20240526）,823.0万,741.2万,21.6万,58764,2.00%,2.00%,2.10%,37.93,34.16,3.7,290,1574
广西壮族自治区,24年第22周（20240527-20240602）,826.2万,745.4万,22.2万,57815,1.90%,1.90%,2.10%,37.06,33.44,3.9,291,1584
广西壮族自治区,24年第23周（20240603-20240609）,821.3万,741.2万,21.7万,58886,2.00%,2.00%,2.10%,37.76,34.08,3.7,293,1601
