地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
新疆维吾尔自治区,24年第1周（20240101-20240107）,915.0万,847.0万,21.8万,35312,0.90%,0.90%,1.20%,41.8,38.69,6.2,203,0
新疆维吾尔自治区,24年第2周（20240108-20240114）,539.4万,499.0万,13.0万,34220,0.90%,0.90%,1.20%,41.49,38.38,3.8,201,0
新疆维吾尔自治区,24年第3周（20240115-20240121）,522.3万,483.9万,12.6万,35605,1.00%,1.00%,1.20%,41.18,38.15,3.6,199,0
新疆维吾尔自治区,24年第4周（20240122-20240128）,465.5万,432.8万,11.4万,35660,1.10%,1.10%,1.20%,40.66,37.8,3.2,204,0
新疆维吾尔自治区,24年第5周（20240129-20240204）,333.8万,309.6万,8.2万,34588,1.00%,1.10%,1.20%,40.59,37.64,2.4,197,0
新疆维吾尔自治区,24年第6周（20240205-20240211）,2240.8万,2092.9万,48.6万,35625,0.80%,0.80%,1.30%,46.05,43.01,13.7,212,0
新疆维吾尔自治区,24年第7周（20240212-20240218）,4796.2万,4489.7万,103.7万,43204,0.80%,0.80%,1.20%,46.22,43.27,24,214,0
新疆维吾尔自治区,24年第8周（20240219-20240225）,1466.2万,1360.2万,32.7万,36095,0.70%,0.70%,1.20%,44.73,41.5,9.1,212,0
新疆维吾尔自治区,24年第9周（20240226-20240303）,701.6万,648.9万,16.2万,33629,0.80%,0.90%,1.20%,43.18,39.94,4.8,212,0
新疆维吾尔自治区,24年第10周（20240304-20240310）,736.8万,679.7万,17.2万,33312,0.80%,0.90%,1.30%,42.69,39.38,5.2,213,1038
新疆维吾尔自治区,24年第11周（20240311-20240317）,495.0万,454.7万,11.6万,32647,0.90%,0.90%,1.30%,42.66,39.19,3.6,211,1033
新疆维吾尔自治区,24年第12周（20240318-20240324）,405.4万,372.4万,9.5万,32365,1.00%,1.00%,1.20%,42.5,39.04,2.9,208,1018
新疆维吾尔自治区,24年第13周（20240325-20240331）,480.5万,441.4万,11.1万,32261,0.80%,0.80%,1.20%,43.09,39.58,3.5,207,1017
新疆维吾尔自治区,24年第14周（20240401-20240407）,925.9万,846.8万,21.9万,35828,0.70%,0.80%,1.20%,42.18,38.57,6.1,207,1029
新疆维吾尔自治区,24年第15周（20240408-20240414）,447.8万,411.3万,10.6万,36201,1.00%,1.00%,1.30%,42.09,38.66,2.9,208,1011
新疆维吾尔自治区,24年第16周（20240415-20240421）,248.2万,228.2万,5.9万,35281,0.80%,0.80%,1.20%,41.92,38.55,1.7,204,1003
新疆维吾尔自治区,24年第17周（20240422-20240428）,177.6万,163.6万,4.2万,33955,0.70%,0.70%,1.30%,41.67,38.38,1.3,207,1004
新疆维吾尔自治区,24年第18周（20240429-20240505）,1180.7万,1094.1万,28.2万,36302,0.70%,0.70%,1.20%,41.79,38.73,7.8,210,1040
新疆维吾尔自治区,24年第19周（20240506-20240512）,333.3万,306.4万,7.9万,32749,0.60%,0.70%,1.20%,41.82,38.45,2.4,207,999
新疆维吾尔自治区,24年第20周（20240513-20240519）,311.6万,286.5万,7.4万,34307,0.70%,0.70%,1.20%,41.85,38.47,2.2,205,1011
新疆维吾尔自治区,24年第21周（20240520-20240526）,318.4万,292.4万,7.6万,34802,0.70%,0.80%,1.20%,41.72,38.32,2.2,204,1008
新疆维吾尔自治区,24年第22周（20240527-20240602）,339.2万,312.9万,8.3万,35144,0.80%,0.80%,1.20%,40.77,37.61,2.4,204,1009
新疆维吾尔自治区,24年第23周（20240603-20240609）,295.2万,271.0万,7.1万,34671,0.70%,0.70%,1.20%,41.16,37.79,2.1,205,1007
新疆维吾尔自治区,24年第24周（20240610-20240616）,299.9万,274.9万,7.2万,36216,0.60%,0.60%,1.20%,41.22,37.79,2,202,987
新疆维吾尔自治区,24年第25周（20240617-20240623）,395.1万,363.3万,9.5万,37708,0.80%,0.80%,1.30%,41.32,38,2.5,201,986
新疆维吾尔自治区,24年第26周（20240624-20240630）,399.8万,369.5万,9.6万,35970,0.60%,0.60%,1.20%,41.62,38.46,2.7,203,1004
新疆维吾尔自治区,24年第27周（20240701-20240707）,570.6万,526.9万,13.6万,37456,0.70%,0.70%,1.20%,41.79,38.59,3.6,201,1013
新疆维吾尔自治区,24年第28周（20240708-20240714）,828.6万,765.5万,19.8万,37908,0.70%,0.70%,1.20%,41.74,38.56,5.2,204,1016
新疆维吾尔自治区,24年第29周（20240715-20240721）,1146.0万,1053.5万,27.2万,36883,0.60%,0.60%,1.20%,42.09,38.7,7.4,202,1011
新疆维吾尔自治区,24年第30周（20240722-20240728）,900.7万,826.2万,21.3万,37115,0.60%,0.60%,1.20%,42.29,38.79,5.7,201,1017
新疆维吾尔自治区,24年第31周（20240729-20240804）,706.2万,648.6万,16.6万,35937,0.70%,0.70%,1.20%,42.31,38.86,4.6,203,1019
新疆维吾尔自治区,24年第32周（20240805-20240811）,722.5万,662.5万,17.0万,35649,0.70%,0.70%,1.20%,42.42,38.9,4.8,203,1025
新疆维吾尔自治区,24年第33周（20240812-20240818）,664.3万,609.5万,15.8万,36639,0.70%,0.70%,1.20%,42.02,38.55,4.3,201,1009
新疆维吾尔自治区,24年第34周（20240819-20240825）,672.7万,615.3万,15.9万,37757,0.60%,0.70%,1.20%,42.15,38.55,4.2,202,1022
