地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
江苏省,24年第1周（20240101-20240107）,8564.8万,7723.9万,219.0万,249762,8.70%,8.70%,9.00%,39.11,35.27,8.8,1085,0
江苏省,24年第2周（20240108-20240114）,4450.4万,3996.0万,116.9万,238197,7.90%,7.80%,8.90%,38.04,34.16,4.9,1072,0
江苏省,24年第3周（20240115-20240121）,4183.2万,3750.3万,110.7万,244623,8.20%,8.20%,8.90%,37.77,33.86,4.5,1076,0
江苏省,24年第4周（20240122-20240128）,3731.2万,3354.8万,100.4万,246040,9.00%,9.10%,8.90%,37.16,33.41,4.1,1078,0
江苏省,24年第5周（20240129-20240204）,2475.1万,2216.6万,66.6万,238305,7.80%,7.80%,8.80%,37.15,33.27,2.8,1083,0
江苏省,24年第6周（20240205-20240211）,2.76亿,2.50亿,543.2万,237302,10.60%,10.60%,8.90%,50.83,46.13,22.9,1113,0
江苏省,24年第7周（20240212-20240218）,5.71亿,5.19亿,1168.9万,313288,9.50%,9.50%,9.30%,48.93,44.46,37.3,1117,0
江苏省,24年第8周（20240219-20240225）,1.32亿,1.20亿,304.2万,258704,6.90%,6.90%,8.80%,43.56,39.57,11.8,1107,0
江苏省,24年第9周（20240226-20240303）,5879.2万,5320.0万,144.5万,231407,7.40%,7.40%,8.80%,40.68,36.81,6.2,1099,0
江苏省,24年第10周（20240304-20240310）,6606.8万,5971.4万,165.1万,226454,8.00%,8.00%,8.80%,40,36.15,7.3,1099,6888
江苏省,24年第11周（20240311-20240317）,4293.5万,3869.9万,107.6万,219901,7.90%,7.90%,8.80%,39.9,35.96,4.9,1094,6836
江苏省,24年第12周（20240318-20240324）,3304.3万,2979.1万,83.6万,221473,8.20%,8.20%,8.80%,39.51,35.62,3.8,1088,6792
江苏省,24年第13周（20240325-20240331）,5418.7万,4891.0万,132.2万,226878,9.80%,9.80%,8.90%,40.98,36.99,5.8,1091,6812
江苏省,24年第14周（20240401-20240407）,1.11亿,9979.3万,281.9万,257935,9.50%,9.50%,9.00%,39.41,35.4,10.9,1093,6890
江苏省,24年第15周（20240408-20240414）,3561.4万,3203.1万,90.8万,244065,8.30%,8.30%,8.90%,39.21,35.27,3.7,1085,6785
江苏省,24年第16周（20240415-20240421）,2476.2万,2240.0万,63.1万,242760,8.30%,8.30%,8.90%,39.24,35.5,2.6,1088,6787
江苏省,24年第17周（20240422-20240428）,1803.5万,1630.5万,45.5万,225657,7.90%,7.90%,8.80%,39.56,35.77,2,1079,6701
江苏省,24年第18周（20240429-20240505）,1.63亿,1.48亿,409.4万,272868,9.90%,9.90%,9.10%,40.03,36.14,15,1101,6892
江苏省,24年第19周（20240506-20240512）,4216.4万,3799.9万,106.3万,227927,8.70%,8.70%,8.80%,39.65,35.73,4.7,1082,6782
江苏省,24年第20周（20240513-20240519）,3324.6万,3003.7万,83.4万,240126,8.30%,8.30%,8.80%,39.85,36,3.5,1087,6807
江苏省,24年第21周（20240520-20240526）,3183.2万,2883.2万,79.7万,242649,7.90%,7.90%,8.70%,39.93,36.17,3.3,1081,6778
江苏省,24年第22周（20240527-20240602）,3382.6万,3053.5万,88.5万,238733,8.00%,8.00%,8.70%,38.18,34.47,3.7,1083,6786
江苏省,24年第23周（20240603-20240609）,3552.9万,3199.8万,91.0万,244316,8.60%,8.70%,8.80%,39,35.13,3.7,1096,6855
江苏省,24年第24周（20240610-20240616）,3841.9万,3454.5万,98.3万,259635,8.30%,8.20%,8.90%,39.08,35.14,3.8,1088,6822
江苏省,24年第25周（20240617-20240623）,4135.6万,3723.3万,104.6万,255452,8.40%,8.30%,8.90%,39.5,35.56,4.1,1080,6774
江苏省,24年第26周（20240624-20240630）,5970.7万,5404.5万,151.0万,252412,9.90%,9.90%,8.90%,39.52,35.78,6,1087,6807
江苏省,24年第27周（20240701-20240707）,7530.0万,6807.7万,188.0万,267595,9.70%,9.60%,9.10%,40.04,36.2,7,1096,6860
江苏省,24年第28周（20240708-20240714）,1.14亿,1.03亿,285.3万,269538,9.70%,9.70%,9.00%,40.11,36.28,10.6,1097,6880
江苏省,24年第29周（20240715-20240721）,1.78亿,1.61亿,444.8万,267311,10.10%,10.10%,9.00%,40.11,36.39,16.6,1096,6877
江苏省,24年第30周（20240722-20240728）,1.29亿,1.17亿,323.2万,267517,9.80%,9.80%,8.90%,40.19,36.36,12.1,1096,6897
江苏省,24年第31周（20240729-20240804）,9575.4万,8672.1万,238.4万,258013,9.60%,9.60%,8.90%,40.16,36.37,9.2,1095,6906
江苏省,24年第32周（20240805-20240811）,9411.9万,8528.5万,231.8万,256498,9.50%,9.50%,8.90%,40.59,36.78,9,1101,6920
江苏省,24年第33周（20240812-20240818）,9347.7万,8449.9万,232.7万,261776,10.00%,10.00%,8.90%,40.17,36.31,8.9,1102,6905
江苏省,24年第34周（20240819-20240825）,9335.9万,8405.9万,238.0万,271606,9.60%,9.60%,9.00%,39.21,35.31,8.8,1102,6917
江苏省,24年第35周（20240826-20240901）,5870.3万,5299.3万,147.3万,266207,9.80%,9.80%,9.00%,39.84,35.97,5.5,1100,6860
江苏省,24年第36周（20240902-20240908）,2433.2万,2191.0万,61.7万,236153,8.40%,8.40%,8.80%,39.38,35.46,2.6,1093,6770
江苏省,24年第37周（20240909-20240915）,2403.7万,2182.4万,60.1万,224453,8.50%,8.50%,8.60%,39.98,36.3,2.7,1093,6854
江苏省,24年第38周（20240916-20240922）,4076.9万,3693.4万,102.7万,244488,8.10%,8.00%,8.60%,39.7,35.96,4.2,1088,6803
江苏省,24年第39周（20240923-20240929）,1676.9万,1532.8万,41.0万,216352,8.30%,8.30%,8.50%,40.84,37.33,1.9,1085,6695
江苏省,24年第40周（20240930-20241006）,2.27亿,2.05亿,566.1万,289362,11.10%,11.00%,9.10%,40.09,36.25,19.6,1112,6962
江苏省,24年第41周（20241007-20241013）,4828.8万,4371.2万,122.8万,235758,9.30%,9.30%,8.70%,39.31,35.59,5.2,1095,6871
江苏省,24年第42周（20241014-20241020）,3140.8万,2843.5万,80.5万,220450,8.50%,8.50%,8.60%,38.98,35.29,3.7,1089,6777
江苏省,24年第43周（20241021-20241027）,6002.1万,5403.7万,150.9万,233234,9.60%,9.60%,8.60%,39.77,35.81,6.5,1088,6773
江苏省,24年第44周（20241028-20241103）,4224.9万,3792.3万,108.7万,235881,8.70%,8.70%,8.70%,38.85,34.87,4.6,1080,6738
