地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
江西省,24年第1周（20240101-20240107）,2322.6万,2108.1万,62.0万,77236,2.30%,2.30%,2.80%,37.4,33.95,8,373,0
江西省,24年第2周（20240108-20240114）,1233.4万,1120.3万,34.6万,73979,2.10%,2.20%,2.70%,35.61,32.34,4.7,369,0
江西省,24年第3周（20240115-20240121）,1123.5万,1016.3万,32.2万,75340,2.20%,2.20%,2.70%,34.82,31.5,4.3,368,0
江西省,24年第4周（20240122-20240128）,976.4万,887.7万,27.6万,74105,2.30%,2.40%,2.60%,35.31,32.1,3.7,370,0
江西省,24年第5周（20240129-20240204）,1009.2万,913.2万,29.1万,72397,3.20%,3.20%,2.60%,34.58,31.29,4,377,0
江西省,24年第6周（20240205-20240211）,7947.6万,7201.8万,168.9万,74013,3.00%,3.00%,2.80%,47.04,42.63,22.8,387,0
江西省,24年第7周（20240212-20240218）,1.83亿,1.67亿,391.1万,100906,3.00%,3.00%,2.90%,47.03,42.81,38.8,386,0
江西省,24年第8周（20240219-20240225）,5892.0万,5385.3万,136.0万,86209,3.00%,3.10%,2.90%,43.31,39.59,15.8,386,0
江西省,24年第9周（20240226-20240303）,1969.0万,1797.3万,49.9万,71667,2.40%,2.50%,2.70%,39.38,35.95,7,384,0
江西省,24年第10周（20240304-20240310）,1961.7万,1787.8万,52.1万,70659,2.30%,2.40%,2.70%,37.64,34.31,7.4,380,2246
江西省,24年第11周（20240311-20240317）,1372.9万,1246.8万,36.7万,68463,2.50%,2.50%,2.70%,37.33,33.9,5.4,380,2242
江西省,24年第12周（20240318-20240324）,949.5万,861.4万,25.4万,68499,2.30%,2.30%,2.70%,37.24,33.78,3.7,378,2217
江西省,24年第13周（20240325-20240331）,1275.0万,1157.1万,33.0万,68801,2.30%,2.30%,2.70%,38.55,34.99,4.8,376,2223
江西省,24年第14周（20240401-20240407）,3435.9万,3099.8万,92.2万,78992,2.90%,2.90%,2.70%,37.24,33.6,11.7,378,2253
江西省,24年第15周（20240408-20240414）,1120.2万,1015.9万,30.4万,74583,2.60%,2.60%,2.70%,36.84,33.41,4.1,375,2211
江西省,24年第16周（20240415-20240421）,859.7万,790.2万,22.5万,74302,2.80%,2.90%,2.70%,38.09,35.01,3,375,2215
江西省,24年第17周（20240422-20240428）,610.6万,560.0万,15.9万,68808,2.70%,2.70%,2.60%,38.2,35.04,2.3,374,2199
江西省,24年第18周（20240429-20240505）,4555.0万,4137.7万,122.8万,85638,2.70%,2.70%,2.80%,37.09,33.69,14.3,381,2262
