地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
河北省,24年第1周（20240101-20240107）,2801.6万,2500.0万,72.4万,114964,2.80%,2.80%,4.10%,38.66,34.49,6.3,535,0
河北省,24年第2周（20240108-20240114）,1613.4万,1432.5万,43.4万,112422,2.80%,2.80%,4.20%,37.17,33,3.9,534,0
河北省,24年第3周（20240115-20240121）,1429.9万,1267.0万,39.0万,115476,2.80%,2.70%,4.20%,36.57,32.41,3.4,533,0
河北省,24年第4周（20240122-20240128）,1237.7万,1102.1万,33.9万,115853,3.00%,2.90%,4.20%,36.4,32.42,2.9,536,0
河北省,24年第5周（20240129-20240204）,1041.3万,928.0万,28.5万,114550,3.30%,3.20%,4.20%,36.42,32.46,2.5,546,0
河北省,24年第6周（20240205-20240211）,1.26亿,1.14亿,251.3万,113465,4.80%,4.80%,4.30%,50.49,45.58,22.1,564,0
河北省,24年第7周（20240212-20240218）,2.99亿,2.71亿,609.9万,142088,5.00%,4.90%,4.20%,49.06,44.47,42.9,564,0
河北省,24年第8周（20240219-20240225）,8034.6万,7310.0万,179.6万,125630,4.20%,4.20%,4.20%,44.73,40.7,14.3,563,0
河北省,24年第9周（20240226-20240303）,2397.2万,2161.8万,58.0万,111114,3.00%,3.00%,4.20%,41.3,37.24,5.2,561,0
河北省,24年第10周（20240304-20240310）,2138.5万,1926.5万,52.3万,107884,2.60%,2.50%,4.20%,40.88,36.83,4.8,556,2992
河北省,24年第11周（20240311-20240317）,1425.7万,1278.9万,35.7万,106413,2.60%,2.60%,4.20%,39.85,35.75,3.4,556,2993
河北省,24年第12周（20240318-20240324）,1140.1万,1023.2万,28.6万,107048,2.80%,2.80%,4.20%,39.78,35.7,2.7,549,2950
河北省,24年第13周（20240325-20240331）,1351.6万,1212.7万,33.2万,107547,2.40%,2.40%,4.20%,40.65,36.47,3.1,551,2967
河北省,24年第14周（20240401-20240407）,3129.3万,2790.2万,80.6万,120529,2.60%,2.60%,4.20%,38.81,34.61,6.7,557,3013
河北省,24年第15周（20240408-20240414）,1097.4万,980.6万,28.3万,115482,2.50%,2.50%,4.20%,38.75,34.62,2.5,548,2947
河北省,24年第16周（20240415-20240421）,833.5万,749.0万,21.4万,116808,2.80%,2.70%,4.30%,38.84,34.9,1.8,552,2961
河北省,24年第17周（20240422-20240428）,557.9万,499.1万,14.2万,111404,2.40%,2.40%,4.30%,39.16,35.03,1.3,548,2926
河北省,24年第18周（20240429-20240505）,5191.5万,4668.4万,133.8万,123114,3.10%,3.10%,4.10%,38.78,34.87,10.9,557,3035
河北省,24年第19周（20240506-20240512）,1354.2万,1209.2万,35.2万,111760,2.80%,2.70%,4.30%,38.37,34.26,3.2,555,2997
河北省,24年第20周（20240513-20240519）,1098.3万,980.8万,28.4万,119965,2.70%,2.70%,4.40%,38.65,34.52,2.4,555,3018
河北省,24年第21周（20240520-20240526）,1153.3万,1031.5万,29.8万,120903,2.80%,2.80%,4.30%,38.6,34.52,2.5,558,3010
河北省,24年第22周（20240527-20240602）,1191.2万,1062.2万,31.9万,120066,2.80%,2.70%,4.30%,37.32,33.28,2.7,559,3017
河北省,24年第23周（20240603-20240609）,1318.3万,1181.4万,34.3万,120900,3.20%,3.20%,4.30%,38.43,34.44,2.8,560,3044
河北省,24年第24周（20240610-20240616）,1279.3万,1143.9万,33.4万,125618,2.70%,2.70%,4.30%,38.27,34.22,2.7,558,3031
河北省,24年第25周（20240617-20240623）,1485.1万,1336.7万,38.0万,124870,3.00%,2.90%,4.30%,39.06,35.15,3,556,3015
