地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
河南省,24年第1周（20240101-20240107）,3790.3万,3383.3万,99.8万,153736,3.80%,3.80%,5.50%,37.95,33.88,6.5,607,0
河南省,24年第2周（20240108-20240114）,2116.0万,1886.6万,58.0万,149238,3.70%,3.70%,5.50%,36.47,32.52,3.9,608,0
河南省,24年第3周（20240115-20240121）,1796.0万,1595.6万,49.8万,152694,3.50%,3.50%,5.50%,36.02,32,3.3,610,0
河南省,24年第4周（20240122-20240128）,1722.9万,1537.7万,48.4万,153213,4.10%,4.10%,5.50%,35.55,31.73,3.2,612,0
河南省,24年第5周（20240129-20240204）,1354.0万,1211.8万,37.9万,151057,4.30%,4.30%,5.60%,35.68,31.94,2.5,616,0
河南省,24年第6周（20240205-20240211）,1.60亿,1.46亿,321.4万,151662,6.10%,6.20%,5.70%,50.09,45.46,21.2,636,0
河南省,24年第7周（20240212-20240218）,3.87亿,3.54亿,785.9万,188917,6.40%,6.50%,5.60%,49.27,45.07,41.6,636,0
河南省,24年第8周（20240219-20240225）,1.02亿,9465.0万,232.3万,166318,5.30%,5.40%,5.60%,44.18,40.73,14,636,0
河南省,24年第9周（20240226-20240303）,3688.3万,3367.9万,90.6万,147812,4.60%,4.60%,5.60%,40.69,37.15,6.1,632,0
河南省,24年第10周（20240304-20240310）,3168.9万,2883.8万,80.5万,144163,3.80%,3.80%,5.60%,39.34,35.8,5.6,627,3935
河南省,24年第11周（20240311-20240317）,2196.5万,1995.8万,56.3万,140521,4.00%,4.00%,5.60%,38.97,35.4,4,623,3898
河南省,24年第12周（20240318-20240324）,1695.2万,1537.7万,43.8万,141051,4.20%,4.20%,5.60%,38.7,35.1,3.1,620,3851
河南省,24年第13周（20240325-20240331）,1808.9万,1632.6万,45.5万,138943,3.20%,3.20%,5.50%,39.71,35.84,3.3,616,3859
河南省,24年第14周（20240401-20240407）,5178.1万,4628.8万,137.1万,159184,4.40%,4.40%,5.60%,37.75,33.74,8.6,618,3914
河南省,24年第15周（20240408-20240414）,1648.7万,1477.5万,43.6万,151890,3.80%,3.80%,5.50%,37.75,33.84,2.9,614,3848
河南省,24年第16周（20240415-20240421）,1153.4万,1033.7万,30.3万,151088,3.80%,3.80%,5.50%,37.96,34.02,2,613,3828
河南省,24年第17周（20240422-20240428）,786.3万,703.5万,20.6万,144947,3.40%,3.40%,5.60%,38.06,34.05,1.4,615,3820
河南省,24年第18周（20240429-20240505）,7018.8万,6330.4万,185.0万,168081,4.20%,4.20%,5.60%,37.93,34.21,11,624,3950
河南省,24年第19周（20240506-20240512）,1681.4万,1504.5万,44.7万,145886,3.50%,3.40%,5.60%,37.62,33.66,3.1,620,3890
河南省,24年第20周（20240513-20240519）,1591.2万,1431.3万,42.2万,155706,4.00%,3.90%,5.70%,37.67,33.88,2.7,617,3878
河南省,24年第21周（20240520-20240526）,1532.9万,1378.0万,40.5万,157853,3.80%,3.80%,5.70%,37.78,33.96,2.6,614,3859
河南省,24年第22周（20240527-20240602）,1452.9万,1304.3万,39.9万,155191,3.40%,3.40%,5.60%,36.41,32.69,2.6,615,3866
河南省,24年第23周（20240603-20240609）,1732.3万,1543.2万,47.0万,157113,4.20%,4.10%,5.70%,36.85,32.82,3,616,3902
河南省,24年第24周（20240610-20240616）,1716.4万,1530.0万,46.6万,165477,3.70%,3.60%,5.60%,36.79,32.79,2.8,616,3885
河南省,24年第25周（20240617-20240623）,2505.3万,2260.0万,65.8万,164004,5.10%,5.00%,5.70%,38.06,34.33,4,616,3873
河南省,24年第26周（20240624-20240630）,3040.9万,2754.3万,78.5万,163386,5.00%,5.00%,5.80%,38.69,35.05,4.8,618,3898
河南省,24年第27周（20240701-20240707）,3500.6万,3167.3万,89.8万,169223,4.50%,4.50%,5.70%,38.95,35.24,5.3,624,3937
河南省,24年第28周（20240708-20240714）,5430.4万,4935.0万,139.4万,171788,4.60%,4.60%,5.70%,38.95,35.4,8.1,628,3976
河南省,24年第29周（20240715-20240721）,7668.0万,6952.1万,196.8万,168551,4.30%,4.30%,5.60%,38.95,35.31,11.7,630,3987
河南省,24年第30周（20240722-20240728）,5449.9万,4927.4万,139.7万,169006,4.10%,4.10%,5.60%,39,35.26,8.3,634,4016
河南省,24年第31周（20240729-20240804）,4275.6万,3875.9万,109.0万,163173,4.30%,4.30%,5.60%,39.2,35.54,6.7,633,4018
河南省,24年第32周（20240805-20240811）,4454.7万,4032.2万,113.2万,164573,4.50%,4.50%,5.70%,39.33,35.6,6.9,637,4055
河南省,24年第33周（20240812-20240818）,3658.2万,3298.4万,95.2万,167026,3.90%,3.90%,5.70%,38.42,34.64,5.7,635,4028
河南省,24年第34周（20240819-20240825）,4193.1万,3774.9万,110.9万,172024,4.30%,4.30%,5.70%,37.8,34.03,6.4,632,4006
河南省,24年第35周（20240826-20240901）,2336.4万,2109.9万,61.7万,169386,3.90%,3.90%,5.70%,37.84,34.17,3.6,630,3985
河南省,24年第36周（20240902-20240908）,1111.4万,1000.6万,29.1万,156591,3.80%,3.80%,5.80%,38.14,34.34,1.9,627,3932
河南省,24年第37周（20240909-20240915）,1399.4万,1276.9万,34.7万,152603,4.90%,5.00%,5.80%,40.24,36.72,2.3,626,3980
河南省,24年第38周（20240916-20240922）,2352.2万,2141.9万,61.6万,161189,4.60%,4.60%,5.70%,38.17,34.76,3.8,623,3951
河南省,24年第39周（20240923-20240929）,855.7万,785.7万,22.4万,147182,4.20%,4.20%,5.70%,38.08,34.96,1.5,627,3902
河南省,24年第40周（20240930-20241006）,9362.2万,8467.5万,247.8万,178467,4.50%,4.50%,5.60%,37.77,34.16,13.9,630,4029
河南省,24年第41周（20241007-20241013）,2004.0万,1811.3万,53.9万,153515,3.80%,3.80%,5.70%,37.16,33.59,3.5,632,4000
河南省,24年第42周（20241014-20241020）,1373.7万,1238.5万,37.1万,144476,3.70%,3.70%,5.60%,36.94,33.31,2.6,628,3930
河南省,24年第43周（20241021-20241027）,2307.5万,2068.1万,60.9万,152583,3.70%,3.60%,5.60%,37.88,33.95,4,627,3947
河南省,24年第44周（20241028-20241103）,1879.4万,1679.1万,50.8万,154284,3.90%,3.80%,5.70%,36.96,33.02,3.3,625,3926
河南省,24年第45周（20241104-20241110）,1672.4万,1489.7万,46.0万,151995,3.90%,3.80%,5.70%,36.28,32.32,3,622,3895
河南省,24年第46周（20241111-20241117）,1329.4万,1184.4万,37.9万,151383,3.90%,3.90%,5.70%,35.07,31.25,2.5,621,3894
河南省,24年第47周（20241118-20241124）,1541.0万,1372.6万,42.6万,147290,3.60%,3.60%,5.70%,36.17,32.22,2.9,619,3897
河南省,24年第48周（20241125-20241201）,1963.6万,1773.3万,53.2万,149154,3.90%,3.90%,5.70%,36.85,33.28,3.6,619,3894
河南省,24年第49周（20241202-20241208）,1526.6万,1377.0万,41.3万,151743,3.60%,3.60%,5.70%,36.89,33.28,2.7,620,3893
河南省,24年第50周（20241209-20241215）,1207.6万,1092.0万,32.7万,148020,3.20%,3.20%,5.70%,36.85,33.32,2.2,618,3909
河南省,24年第51周（20241216-20241222）,1289.3万,1164.1万,34.2万,143036,3.40%,3.40%,5.70%,37.69,34.03,2.4,621,3925
河南省,24年第52周（20241223-20241229）,2708.7万,2459.9万,69.9万,147791,4.30%,4.30%,5.70%,38.72,35.17,4.7,629,4000
河南省,24年第53周（20241230-20240105）,0,0,0,0,--,--,--,--,--,--,0,0
河南省,25年第1周（20250106-20250112）,1893.6万,1710.8万,52.3万,162204,4.30%,4.30%,5.80%,36.19,32.69,3.2,639,0
河南省,25年第2周（20250113-20250119）,1731.8万,1556.1万,47.9万,161589,4.70%,4.70%,5.70%,36.12,32.46,3,644,0
河南省,25年第3周（20250120-20250126）,1809.9万,1618.3万,50.2万,161949,5.70%,5.70%,5.80%,36.05,32.23,3.1,657,0
河南省,25年第4周（20250127-20250202）,4.33亿,3.87亿,829.2万,173104,6.00%,6.00%,5.90%,52.24,46.73,47.9,668,0
