地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
浙江省,24年第1周（20240101-20240107）,7033.6万,6267.6万,168.9万,190716,7.10%,7.00%,6.90%,41.63,37.1,8.9,771,0
浙江省,24年第2周（20240108-20240114）,3742.8万,3323.1万,92.9万,183591,6.60%,6.50%,6.80%,40.27,35.75,5.1,773,0
浙江省,24年第3周（20240115-20240121）,3268.4万,2893.4万,81.6万,187967,6.40%,6.30%,6.80%,40.04,35.45,4.3,771,0
浙江省,24年第4周（20240122-20240128）,2636.8万,2334.9万,66.4万,187692,6.40%,6.30%,6.80%,39.71,35.16,3.5,774,0
浙江省,24年第5周（20240129-20240204）,2294.0万,2029.0万,57.9万,184630,7.20%,7.20%,6.80%,39.58,35.01,3.1,779,0
浙江省,24年第6周（20240205-20240211）,1.84亿,1.64亿,358.6万,185815,7.00%,6.90%,7.00%,51.34,45.73,19.3,806,0
浙江省,24年第7周（20240212-20240218）,3.66亿,3.27亿,739.6万,236263,6.10%,6.00%,7.00%,49.61,44.28,31.3,805,0
浙江省,24年第8周（20240219-20240225）,1.35亿,1.21亿,299.9万,206777,7.10%,7.00%,7.00%,45.18,40.64,14.5,798,0
浙江省,24年第9周（20240226-20240303）,5281.0万,4732.0万,124.7万,181780,6.60%,6.50%,6.90%,42.33,37.93,6.9,797,0
浙江省,24年第10周（20240304-20240310）,5830.0万,5201.9万,139.0万,177439,7.00%,7.00%,6.90%,41.93,37.41,7.8,795,5428
浙江省,24年第11周（20240311-20240317）,3987.7万,3552.9万,94.4万,172779,7.30%,7.20%,6.90%,42.24,37.64,5.5,788,5382
浙江省,24年第12周（20240318-20240324）,2766.7万,2461.5万,66.8万,173415,6.90%,6.80%,6.90%,41.39,36.82,3.9,786,5318
浙江省,24年第13周（20240325-20240331）,4421.2万,3946.6万,103.7万,177529,8.00%,7.90%,7.00%,42.63,38.05,5.8,787,5349
浙江省,24年第14周（20240401-20240407）,9177.9万,8136.8万,224.8万,199759,7.80%,7.70%,7.00%,40.83,36.19,11.3,788,5390
浙江省,24年第15周（20240408-20240414）,3098.3万,2751.2万,76.0万,190068,7.20%,7.10%,6.90%,40.73,36.17,4,788,5329
浙江省,24年第16周（20240415-20240421）,2151.1万,1918.4万,52.5万,188938,7.20%,7.10%,6.90%,40.94,36.52,2.8,787,5329
浙江省,24年第17周（20240422-20240428）,1647.4万,1469.6万,39.8万,178407,7.20%,7.10%,6.90%,41.32,36.86,2.2,781,5229
