地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
海南省,24年第1周（20240101-20240107）,809.1万,730.9万,20.5万,22662,0.80%,0.80%,0.80%,39.39,35.58,9.1,104,0
海南省,24年第2周（20240108-20240114）,454.4万,410.5万,11.8万,22500,0.80%,0.80%,0.80%,38.49,34.77,5.2,103,0
海南省,24年第3周（20240115-20240121）,407.7万,368.2万,10.6万,23306,0.80%,0.80%,0.80%,38.29,34.58,4.6,103,0
海南省,24年第4周（20240122-20240128）,386.0万,350.4万,10.0万,23222,0.90%,0.90%,0.80%,38.39,34.85,4.3,106,0
海南省,24年第5周（20240129-20240204）,305.5万,278.2万,8.0万,23252,0.90%,0.90%,0.80%,38.06,34.66,3.5,108,0
海南省,24年第6周（20240205-20240211）,2652.7万,2454.9万,51.0万,23163,1.00%,1.00%,0.80%,51.97,48.1,22,113,0
海南省,24年第7周（20240212-20240218）,5379.1万,4982.5万,106.9万,29896,0.80%,0.90%,0.80%,50.28,46.57,35.8,113,0
海南省,24年第8周（20240219-20240225）,1714.7万,1579.8万,37.9万,26432,0.90%,0.90%,0.90%,45.13,41.58,14.4,114,0
海南省,24年第9周（20240226-20240303）,720.3万,656.6万,17.2万,23427,0.90%,0.90%,0.80%,41.74,38.05,7.4,114,0
海南省,24年第10周（20240304-20240310）,733.3万,666.5万,18.1万,22755,0.80%,0.80%,0.80%,40.47,36.78,8,113,672
海南省,24年第11周（20240311-20240317）,457.1万,413.7万,11.4万,22088,0.80%,0.80%,0.80%,40.01,36.21,5.2,113,665
海南省,24年第12周（20240318-20240324）,331.8万,300.9万,8.3万,21874,0.80%,0.80%,0.80%,39.59,35.91,3.8,113,653
海南省,24年第13周（20240325-20240331）,496.2万,448.6万,12.0万,21949,0.90%,0.90%,0.80%,41.22,37.27,5.5,112,650
海南省,24年第14周（20240401-20240407）,867.5万,781.3万,21.9万,24367,0.70%,0.70%,0.80%,39.57,35.64,9,108,649
