地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
湖北省,24年第1周（20240101-20240107）,4206.6万,3803.8万,112.2万,111575,4.20%,4.20%,4.00%,37.47,33.88,10.1,476,0
湖北省,24年第2周（20240108-20240114）,2213.1万,1994.8万,61.3万,108414,3.90%,3.90%,4.00%,36.06,32.5,5.7,472,0
湖北省,24年第3周（20240115-20240121）,1981.8万,1783.0万,55.1万,111221,3.90%,3.90%,4.00%,35.94,32.34,5,474,0
湖北省,24年第4周（20240122-20240128）,1716.8万,1546.2万,48.3万,111845,4.10%,4.10%,4.00%,35.47,31.95,4.3,473,0
湖北省,24年第5周（20240129-20240204）,1320.2万,1185.3万,37.1万,108632,4.20%,4.20%,4.00%,35.57,31.93,3.4,480,0
湖北省,24年第6周（20240205-20240211）,1.08亿,9794.1万,229.9万,106077,4.10%,4.10%,4.00%,46.99,42.6,21.7,486,0
湖北省,24年第7周（20240212-20240218）,2.66亿,2.42亿,565.5万,134104,4.40%,4.40%,3.90%,47.03,42.79,42.2,485,0
湖北省,24年第8周（20240219-20240225）,8088.9万,7382.4万,188.3万,116474,4.20%,4.20%,3.90%,42.94,39.19,16.2,485,0
湖北省,24年第9周（20240226-20240303）,3337.2万,3029.5万,84.4万,104138,4.20%,4.20%,3.90%,39.51,35.87,8.1,483,0
湖北省,24年第10周（20240304-20240310）,3468.6万,3146.7万,90.2万,102794,4.20%,4.20%,4.00%,38.44,34.87,8.8,483,3003
湖北省,24年第11周（20240311-20240317）,2292.0万,2082.7万,59.8万,99868,4.20%,4.20%,4.00%,38.32,34.82,6,482,2988
湖北省,24年第12周（20240318-20240324）,1643.4万,1493.4万,43.4万,100936,4.10%,4.10%,4.00%,37.84,34.39,4.3,481,2974
湖北省,24年第13周（20240325-20240331）,2132.5万,1933.8万,54.8万,101362,3.80%,3.80%,4.00%,38.89,35.27,5.4,481,2964
湖北省,24年第14周（20240401-20240407）,5364.4万,4835.6万,143.6万,114952,4.50%,4.60%,4.00%,37.34,33.66,12.5,483,3013
湖北省,24年第15周（20240408-20240414）,1754.5万,1586.0万,47.4万,109875,4.10%,4.10%,4.00%,37.02,33.46,4.3,482,2978
湖北省,24年第16周（20240415-20240421）,1186.4万,1075.3万,31.8万,110072,3.90%,4.00%,4.00%,37.27,33.78,2.9,482,2969
湖北省,24年第17周（20240422-20240428）,893.5万,810.0万,23.2万,102551,3.90%,3.90%,4.00%,38.45,34.85,2.3,482,2949
湖北省,24年第18周（20240429-20240505）,7175.0万,6490.4万,187.8万,122467,4.30%,4.30%,4.00%,38.2,34.56,15.3,490,3046
湖北省,24年第19周（20240506-20240512）,1954.5万,1770.7万,51.7万,103850,4.00%,4.00%,4.00%,37.78,34.23,5,489,3022
湖北省,24年第20周（20240513-20240519）,1745.3万,1596.1万,45.4万,110220,4.30%,4.40%,4.00%,38.42,35.14,4.1,489,3031
湖北省,24年第21周（20240520-20240526）,1865.7万,1719.9万,47.8万,112165,4.60%,4.70%,4.00%,38.98,35.94,4.3,488,3023
湖北省,24年第22周（20240527-20240602）,2036.0万,1861.1万,53.9万,111974,4.80%,4.90%,4.10%,37.72,34.48,4.8,489,3034
湖北省,24年第23周（20240603-20240609）,1854.4万,1674.7万,50.1万,112812,4.50%,4.50%,4.00%,36.98,33.39,4.4,487,3034
湖北省,24年第24周（20240610-20240616）,1982.7万,1790.7万,53.5万,119180,4.20%,4.20%,4.00%,37.06,33.47,4.5,487,3022
湖北省,24年第25周（20240617-20240623）,2175.3万,1974.2万,56.4万,117693,4.40%,4.40%,4.10%,38.52,34.95,4.8,486,3010
湖北省,24年第26周（20240624-20240630）,2753.1万,2505.4万,71.8万,115237,4.60%,4.60%,4.00%,38.3,34.86,6.2,485,3011
湖北省,24年第27周（20240701-20240707）,3462.0万,3151.0万,88.8万,119981,4.40%,4.40%,4.00%,38.96,35.46,7.4,485,3016
湖北省,24年第28周（20240708-20240714）,4742.5万,4306.9万,121.3万,120758,4.00%,4.00%,4.00%,39.07,35.48,10.1,486,3034
湖北省,24年第29周（20240715-20240721）,6691.7万,6102.6万,171.5万,118696,3.80%,3.80%,3.90%,39,35.57,14.5,490,3033
湖北省,24年第30周（20240722-20240728）,5193.7万,4722.5万,132.1万,118755,3.90%,3.90%,3.90%,39.31,35.74,11.1,490,3061
湖北省,24年第31周（20240729-20240804）,4212.2万,3828.2万,107.5万,114756,4.20%,4.20%,3.90%,39.18,35.61,9.4,491,3066
湖北省,24年第32周（20240805-20240811）,4267.9万,3881.7万,107.4万,115398,4.30%,4.30%,4.00%,39.71,36.12,9.3,494,3071
湖北省,24年第33周（20240812-20240818）,4050.8万,3685.0万,102.1万,117005,4.30%,4.30%,4.00%,39.66,36.08,8.7,492,3059
湖北省,24年第34周（20240819-20240825）,3942.4万,3567.6万,103.5万,120864,4.00%,4.00%,4.00%,38.08,34.46,8.6,493,3049
湖北省,24年第35周（20240826-20240901）,2657.2万,2407.2万,70.2万,119208,4.40%,4.40%,4.00%,37.82,34.27,5.9,489,3019
湖北省,24年第36周（20240902-20240908）,1307.3万,1186.4万,34.5万,111178,4.50%,4.50%,4.10%,37.88,34.38,3.1,488,2996
湖北省,24年第37周（20240909-20240915）,1191.2万,1087.5万,31.1万,105170,4.20%,4.20%,4.00%,38.24,34.91,3,490,3035
湖北省,24年第38周（20240916-20240922）,2197.5万,2005.0万,57.2万,115192,4.30%,4.30%,4.00%,38.39,35.03,5,491,3011
湖北省,24年第39周（20240923-20240929）,808.8万,738.2万,21.2万,102319,4.00%,4.00%,4.00%,38.14,34.81,2.1,491,2977
湖北省,24年第40周（20240930-20241006）,9048.5万,8223.6万,233.7万,129691,4.40%,4.40%,4.00%,38.72,35.19,18,498,3102
湖北省,24年第41周（20241007-20241013）,2308.8万,2111.8万,61.5万,109203,4.40%,4.50%,4.00%,37.53,34.32,5.6,496,3064
湖北省,24年第42周（20241014-20241020）,1673.5万,1534.2万,45.8万,104856,4.50%,4.60%,4.10%,36.52,33.48,4.4,496,3043
湖北省,24年第43周（20241021-20241027）,2640.8万,2400.6万,71.4万,108901,4.20%,4.20%,4.00%,36.95,33.59,6.6,494,3037
湖北省,24年第44周（20241028-20241103）,2120.6万,1918.1万,57.7万,111183,4.40%,4.40%,4.10%,36.7,33.19,5.2,494,3036
湖北省,24年第45周（20241104-20241110）,1833.7万,1658.1万,50.2万,108890,4.20%,4.30%,4.10%,36.52,33.02,4.6,492,3020
湖北省,24年第46周（20241111-20241117）,1453.7万,1309.8万,40.2万,106631,4.30%,4.30%,4.00%,36.12,32.54,3.8,492,3009
