地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
湖南省,24年第1周（20240101-20240107）,3274.8万,2969.9万,85.1万,106801,3.30%,3.30%,3.80%,38.47,34.89,8,499,0
湖南省,24年第2周（20240108-20240114）,1771.9万,1605.3万,48.4万,101896,3.10%,3.10%,3.80%,36.54,33.1,4.8,498,0
湖南省,24年第3周（20240115-20240121）,1541.2万,1381.6万,42.7万,103202,3.00%,3.00%,3.70%,36.08,32.34,4.1,498,0
湖南省,24年第4周（20240122-20240128）,1397.0万,1253.1万,38.6万,104448,3.40%,3.30%,3.70%,36.12,32.4,3.7,502,0
湖南省,24年第5周（20240129-20240204）,1221.8万,1088.4万,33.4万,103730,3.80%,3.80%,3.80%,36.48,32.5,3.2,512,0
湖南省,24年第6周（20240205-20240211）,7696.9万,6876.1万,165.3万,100226,2.90%,2.90%,3.80%,46.56,41.59,16.5,525,0
湖南省,24年第7周（20240212-20240218）,2.10亿,1.89亿,456.4万,135155,3.50%,3.40%,4.00%,46.1,41.56,33.8,525,0
湖南省,24年第8周（20240219-20240225）,7403.9万,6731.7万,171.2万,117780,3.80%,3.80%,4.00%,43.24,39.31,14.5,524,0
湖南省,24年第9周（20240226-20240303）,2797.1万,2529.6万,69.2万,101655,3.50%,3.50%,3.80%,40.41,36.55,6.8,522,0
湖南省,24年第10周（20240304-20240310）,2695.6万,2427.9万,68.5万,99007,3.20%,3.20%,3.80%,39.34,35.43,6.9,521,3129
湖南省,24年第11周（20240311-20240317）,1863.2万,1674.9万,47.5万,96547,3.40%,3.40%,3.80%,39.19,35.23,4.9,519,3111
湖南省,24年第12周（20240318-20240324）,1255.8万,1134.5万,32.2万,97883,3.10%,3.10%,3.90%,38.89,35.14,3.3,517,3088
湖南省,24年第13周（20240325-20240331）,1540.2万,1400.6万,38.8万,97857,2.70%,2.80%,3.80%,39.64,36.04,4,515,3083
湖南省,24年第14周（20240401-20240407）,4199.6万,3768.9万,110.7万,111693,3.50%,3.60%,3.90%,37.91,34.03,9.9,514,3120
湖南省,24年第15周（20240408-20240414）,1381.7万,1244.3万,36.7万,105835,3.20%,3.20%,3.80%,37.63,33.89,3.5,514,3092
湖南省,24年第16周（20240415-20240421）,991.7万,898.6万,26.6万,105131,3.30%,3.30%,3.80%,37.21,33.72,2.5,513,3069
湖南省,24年第17周（20240422-20240428）,708.1万,643.2万,19.0万,98349,3.10%,3.10%,3.80%,37.16,33.75,1.9,512,3042
湖南省,24年第18周（20240429-20240505）,5404.9万,4863.0万,140.0万,116617,3.20%,3.20%,3.90%,38.59,34.72,12,517,3125
湖南省,24年第19周（20240506-20240512）,1431.7万,1296.5万,37.5万,97432,2.90%,2.90%,3.70%,38.13,34.53,3.9,515,3086
湖南省,24年第20周（20240513-20240519）,1340.3万,1230.9万,35.0万,104998,3.30%,3.40%,3.80%,38.26,35.14,3.3,512,3084
湖南省,24年第21周（20240520-20240526）,1596.0万,1481.2万,41.6万,105957,4.00%,4.10%,3.80%,38.3,35.55,3.9,512,3072
湖南省,24年第22周（20240527-20240602）,1640.2万,1506.2万,44.5万,105735,3.90%,3.90%,3.80%,36.79,33.78,4.2,514,3106
湖南省,24年第23周（20240603-20240609）,1273.7万,1144.7万,34.0万,104985,3.10%,3.10%,3.80%,37.43,33.64,3.2,514,3105
湖南省,24年第24周（20240610-20240616）,1512.4万,1360.9万,40.4万,112968,3.20%,3.20%,3.80%,37.35,33.61,3.6,513,3085
湖南省,24年第25周（20240617-20240623）,1783.7万,1617.4万,46.8万,109096,3.60%,3.60%,3.80%,38.09,34.54,4.3,512,3061
湖南省,24年第26周（20240624-20240630）,2095.9万,1906.5万,53.8万,106930,3.50%,3.50%,3.80%,38.9,35.39,5,513,3075
湖南省,24年第27周（20240701-20240707）,2978.5万,2722.0万,74.3万,113535,3.80%,3.80%,3.80%,40.08,36.63,6.5,515,3098
湖南省,24年第28周（20240708-20240714）,3669.6万,3340.4万,92.5万,117400,3.10%,3.10%,3.90%,39.65,36.09,7.9,515,3111
湖南省,24年第29周（20240715-20240721）,5599.3万,5139.5万,143.7万,116312,3.10%,3.20%,3.90%,38.95,35.76,12.4,517,3107
湖南省,24年第30周（20240722-20240728）,3939.1万,3579.3万,100.1万,116718,2.90%,2.90%,3.90%,39.34,35.74,8.6,517,3121
湖南省,24年第31周（20240729-20240804）,3172.8万,2891.3万,80.4万,112828,3.10%,3.20%,3.90%,39.43,35.93,7.1,517,3120
湖南省,24年第32周（20240805-20240811）,3069.2万,2776.9万,76.6万,112249,3.10%,3.10%,3.90%,40.05,36.24,6.8,518,3130
湖南省,24年第33周（20240812-20240818）,2831.9万,2553.4万,72.1万,112763,3.00%,3.00%,3.80%,39.23,35.37,6.4,516,3106
湖南省,24年第34周（20240819-20240825）,3217.0万,2906.2万,84.2万,116458,3.30%,3.30%,3.80%,38.19,34.5,7.2,516,3096
湖南省,24年第35周（20240826-20240901）,2156.6万,1952.4万,56.7万,114364,3.60%,3.60%,3.80%,37.97,34.38,5,512,3063
湖南省,24年第36周（20240902-20240908）,1030.9万,933.5万,26.7万,100888,3.50%,3.50%,3.70%,38.58,34.94,2.6,506,2994
湖南省,24年第37周（20240909-20240915）,982.2万,895.5万,25.4万,98674,3.50%,3.50%,3.80%,38.54,35.14,2.6,511,3061
湖南省,24年第38周（20240916-20240922）,1699.8万,1548.5万,43.5万,108288,3.30%,3.30%,3.80%,39,35.53,4,510,3039
湖南省,24年第39周（20240923-20240929）,651.7万,598.0万,17.0万,96508,3.20%,3.20%,3.70%,38.14,35,1.8,512,3021
湖南省,24年第40周（20240930-20241006）,6715.0万,6093.0万,171.8万,125247,3.20%,3.20%,3.90%,39.07,35.45,13.7,518,3139
湖南省,24年第41周（20241007-20241013）,1616.5万,1465.0万,42.1万,102704,3.10%,3.10%,3.80%,38.39,34.79,4.1,518,3110
湖南省,24年第42周（20241014-20241020）,1258.9万,1141.7万,33.4万,98627,3.40%,3.40%,3.80%,37.62,34.12,3.4,513,3062
湖南省,24年第43周（20241021-20241027）,1740.9万,1564.0万,45.2万,102465,2.80%,2.70%,3.80%,38.45,34.55,4.4,511,3077
湖南省,24年第44周（20241028-20241103）,1463.0万,1307.6万,38.7万,104338,3.00%,3.00%,3.80%,37.73,33.72,3.7,513,3074
湖南省,24年第45周（20241104-20241110）,1292.1万,1149.7万,34.6万,102792,3.00%,2.90%,3.80%,37.3,33.19,3.4,509,3058
湖南省,24年第46周（20241111-20241117）,1056.3万,944.2万,29.1万,100919,3.10%,3.10%,3.80%,36.22,32.37,2.9,512,3040
湖南省,24年第47周（20241118-20241124）,1383.2万,1241.3万,36.6万,99147,3.20%,3.20%,3.80%,37.79,33.92,3.7,510,3049
湖南省,24年第48周（20241125-20241201）,1705.1万,1552.5万,45.4万,100197,3.40%,3.40%,3.80%,37.51,34.15,4.5,511,3050
湖南省,24年第49周（20241202-20241208）,1324.3万,1201.3万,35.2万,101298,3.10%,3.20%,3.80%,37.57,34.08,3.5,508,3028
湖南省,24年第50周（20241209-20241215）,1109.5万,1017.2万,29.3万,99289,3.00%,3.00%,3.80%,37.83,34.68,3,506,3028
湖南省,24年第51周（20241216-20241222）,1071.8万,974.9万,27.9万,95578,2.80%,2.80%,3.80%,38.29,34.83,2.9,509,3049
湖南省,24年第52周（20241223-20241229）,2028.5万,1847.0万,52.1万,99463,3.20%,3.20%,3.80%,38.92,35.44,5.2,520,3115
湖南省,24年第53周（20241230-20240105）,0,0,0,0,--,--,--,--,--,--,0,0
湖南省,25年第1周（20250106-20250112）,1684.2万,1532.5万,45.6万,107129,3.80%,3.90%,3.80%,36.86,33.54,4.3,526,0
湖南省,25年第2周（20250113-20250119）,1272.5万,1142.2万,34.6万,107967,3.40%,3.40%,3.80%,36.76,33,3.2,528,0
湖南省,25年第3周（20250120-20250126）,1286.0万,1141.9万,34.4万,106711,4.00%,4.00%,3.80%,37.3,33.12,3.2,530,0
湖南省,25年第4周（20250127-20250202）,2.42亿,2.14亿,501.2万,115052,3.40%,3.30%,3.90%,48.36,42.86,43.6,541,0
