地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
甘肃省,24年第1周（20240101-20240107）,1059.1万,961.5万,27.2万,35062,1.00%,1.00%,1.20%,38.83,35.25,7.8,182,0
甘肃省,24年第2周（20240108-20240114）,756.0万,685.9万,20.0万,34733,1.30%,1.30%,1.30%,37.77,34.27,5.8,183,0
甘肃省,24年第3周（20240115-20240121）,629.5万,568.9万,16.7万,36140,1.20%,1.20%,1.30%,37.48,33.87,4.6,184,0
甘肃省,24年第4周（20240122-20240128）,509.0万,460.8万,13.6万,35958,1.20%,1.20%,1.30%,37.41,33.88,3.8,184,0
甘肃省,24年第5周（20240129-20240204）,381.4万,345.3万,10.1万,34753,1.20%,1.20%,1.20%,37.46,33.91,2.9,185,0
甘肃省,24年第6周（20240205-20240211）,2944.3万,2680.6万,62.1万,32791,1.10%,1.10%,1.20%,47.34,43.1,19,191,0
甘肃省,24年第7周（20240212-20240218）,7631.4万,6955.0万,162.7万,43274,1.20%,1.20%,1.20%,46.89,42.73,37.6,191,0
甘肃省,24年第8周（20240219-20240225）,2982.0万,2723.3万,67.3万,38032,1.50%,1.50%,1.20%,44.29,40.44,17.7,190,0
甘肃省,24年第9周（20240226-20240303）,1006.7万,917.7万,23.8万,33498,1.20%,1.20%,1.20%,42.2,38.47,7.1,189,0
甘肃省,24年第10周（20240304-20240310）,965.7万,882.8万,23.8万,32519,1.10%,1.10%,1.20%,40.57,37.09,7.3,186,961
甘肃省,24年第11周（20240311-20240317）,580.1万,527.1万,14.2万,31588,1.00%,1.00%,1.20%,40.63,36.92,4.5,186,946
甘肃省,24年第12周（20240318-20240324）,455.5万,415.4万,11.3万,31262,1.10%,1.10%,1.20%,40.28,36.73,3.6,186,936
甘肃省,24年第13周（20240325-20240331）,528.0万,482.0万,12.7万,31747,0.90%,0.90%,1.20%,41.4,37.79,4,185,941
甘肃省,24年第14周（20240401-20240407）,1209.6万,1097.9万,30.6万,35451,1.00%,1.00%,1.20%,39.43,35.79,8.7,185,944
甘肃省,24年第15周（20240408-20240414）,452.2万,411.9万,11.4万,35021,1.00%,1.00%,1.20%,39.44,35.93,3.3,185,934
甘肃省,24年第16周（20240415-20240421）,312.8万,284.7万,7.8万,35130,1.00%,1.00%,1.20%,39.73,36.16,2.2,185,936
甘肃省,24年第17周（20240422-20240428）,197.3万,179.8万,4.9万,33002,0.80%,0.80%,1.20%,39.61,36.09,1.5,185,922
甘肃省,24年第18周（20240429-20240505）,1538.0万,1403.7万,38.5万,37347,0.90%,0.90%,1.20%,39.93,36.44,10.3,187,945
甘肃省,24年第19周（20240506-20240512）,434.9万,396.6万,11.1万,32587,0.90%,0.90%,1.20%,39.01,35.57,3.4,186,937
甘肃省,24年第20周（20240513-20240519）,366.0万,332.5万,9.3万,34828,0.90%,0.90%,1.20%,39.27,35.68,2.7,187,942
甘肃省,24年第21周（20240520-20240526）,361.6万,329.0万,9.1万,35171,0.90%,0.90%,1.20%,39.39,35.83,2.6,187,939
甘肃省,24年第22周（20240527-20240602）,454.7万,413.3万,11.9万,35105,1.00%,1.00%,1.20%,37.99,34.54,3.4,187,937
甘肃省,24年第23周（20240603-20240609）,372.1万,337.6万,9.6万,34266,0.90%,0.90%,1.20%,38.6,35.02,2.8,186,942
甘肃省,24年第24周（20240610-20240616）,393.8万,358.2万,10.2万,36771,0.80%,0.80%,1.20%,38.33,34.87,2.8,186,938
甘肃省,24年第25周（20240617-20240623）,496.3万,452.6万,12.6万,36663,1.00%,1.00%,1.20%,39.19,35.74,3.5,186,934
甘肃省,24年第26周（20240624-20240630）,489.3万,449.6万,12.4万,35865,0.80%,0.80%,1.20%,39.36,36.18,3.5,188,937
甘肃省,24年第27周（20240701-20240707）,638.0万,585.2万,15.9万,36469,0.80%,0.80%,1.20%,40.01,36.69,4.4,188,925
甘肃省,24年第28周（20240708-20240714）,1169.0万,1073.6万,29.1万,37093,0.90%,1.00%,1.20%,40.07,36.8,7.9,189,946
甘肃省,24年第29周（20240715-20240721）,1651.9万,1517.1万,41.3万,37345,0.90%,0.90%,1.20%,39.98,36.71,11.1,187,938
甘肃省,24年第30周（20240722-20240728）,1304.2万,1197.1万,32.5万,37139,0.90%,0.90%,1.20%,40.09,36.79,8.8,187,944
甘肃省,24年第31周（20240729-20240804）,987.2万,907.2万,24.5万,35778,0.90%,1.00%,1.20%,40.17,36.92,6.9,187,934
甘肃省,24年第32周（20240805-20240811）,1024.6万,940.4万,25.4万,35659,1.00%,1.00%,1.20%,40.25,36.94,7.1,186,933
甘肃省,24年第33周（20240812-20240818）,891.5万,818.3万,22.5万,35863,0.90%,0.90%,1.20%,39.61,36.36,6.3,185,923
甘肃省,24年第34周（20240819-20240825）,967.9万,886.0万,24.7万,36796,0.90%,1.00%,1.20%,39.05,35.74,6.7,186,925
甘肃省,24年第35周（20240826-20240901）,432.9万,396.1万,11.0万,35333,0.70%,0.70%,1.10%,39.21,35.88,3.1,185,913
