地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
福建省,24年第1周（20240101-20240107）,2970.9万,2614.0万,74.6万,85947,3.00%,2.90%,3.10%,39.8,35.02,8.7,378,0
福建省,24年第2周（20240108-20240114）,1543.6万,1343.5万,39.9万,84219,2.70%,2.60%,3.10%,38.67,33.66,4.7,379,0
福建省,24年第3周（20240115-20240121）,1518.5万,1323.8万,39.1万,85742,3.00%,2.90%,3.10%,38.81,33.83,4.6,377,0
福建省,24年第4周（20240122-20240128）,1274.3万,1108.6万,33.1万,85494,3.10%,3.00%,3.10%,38.47,33.47,3.9,378,0
福建省,24年第5周（20240129-20240204）,1082.7万,936.0万,28.3万,84744,3.40%,3.30%,3.10%,38.13,32.96,3.4,381,0
福建省,24年第6周（20240205-20240211）,7960.2万,7092.8万,162.1万,83834,3.00%,3.00%,3.10%,49.09,43.74,19.3,386,0
福建省,24年第7周（20240212-20240218）,1.85亿,1.66亿,387.3万,107132,3.10%,3.00%,3.10%,47.9,42.86,36.2,385,0
福建省,24年第8周（20240219-20240225）,6420.9万,5730.7万,146.4万,92954,3.30%,3.30%,3.10%,43.86,39.14,15.8,384,0
福建省,24年第9周（20240226-20240303）,2515.1万,2232.6万,61.1万,80434,3.10%,3.10%,3.00%,41.1,36.49,7.6,384,0
福建省,24年第10周（20240304-20240310）,2764.6万,2443.4万,68.7万,78786,3.30%,3.20%,3.00%,40.23,35.56,8.7,383,2272
福建省,24年第11周（20240311-20240317）,1821.8万,1596.3万,45.2万,76680,3.30%,3.20%,3.00%,40.24,35.26,5.9,382,2247
福建省,24年第12周（20240318-20240324）,1308.1万,1151.8万,32.8万,77645,3.20%,3.10%,3.10%,39.88,35.11,4.2,382,2226
福建省,24年第13周（20240325-20240331）,1945.5万,1722.5万,47.1万,76730,3.50%,3.40%,3.00%,41.25,36.52,6.1,382,2224
福建省,24年第14周（20240401-20240407）,4201.7万,3696.4万,106.4万,87386,3.50%,3.50%,3.00%,39.47,34.72,12.2,382,2247
福建省,24年第15周（20240408-20240414）,1543.8万,1350.7万,39.1万,82838,3.60%,3.50%,3.00%,39.4,34.47,4.7,382,2226
福建省,24年第16周（20240415-20240421）,996.8万,873.6万,25.0万,81993,3.30%,3.20%,3.00%,39.83,34.91,3.1,381,2217
福建省,24年第17周（20240422-20240428）,809.2万,697.6万,19.7万,76484,3.50%,3.40%,2.90%,41.04,35.37,2.6,381,2198
福建省,24年第18周（20240429-20240505）,5933.5万,5282.5万,148.7万,92900,3.50%,3.50%,3.10%,39.89,35.51,16,384,2249
福建省,24年第19周（20240506-20240512）,1572.0万,1383.5万,39.4万,77179,3.20%,3.10%,2.90%,39.85,35.07,5.1,383,2224
福建省,24年第20周（20240513-20240519）,1324.2万,1170.8万,33.3万,82397,3.30%,3.20%,3.00%,39.76,35.15,4,384,2239
福建省,24年第21周（20240520-20240526）,1502.7万,1336.6万,37.3万,84636,3.70%,3.70%,3.00%,40.25,35.81,4.4,385,2249
福建省,24年第22周（20240527-20240602）,1569.8万,1394.8万,40.3万,83465,3.70%,3.60%,3.00%,38.92,34.58,4.8,385,2252
福建省,24年第23周（20240603-20240609）,1326.6万,1172.4万,33.8万,83979,3.20%,3.10%,3.00%,39.16,34.61,4,387,2262
福建省,24年第24周（20240610-20240616）,1456.4万,1276.6万,37.0万,89721,3.10%,3.00%,3.00%,39.29,34.44,4.1,387,2256
福建省,24年第25周（20240617-20240623）,1506.3万,1321.6万,37.9万,88622,3.00%,2.90%,3.00%,39.67,34.81,4.3,387,2254
福建省,24年第26周（20240624-20240630）,2122.7万,1880.4万,53.3万,87485,3.50%,3.40%,3.10%,39.79,35.24,6.1,386,2244
福建省,24年第27周（20240701-20240707）,2689.7万,2385.4万,66.6万,92561,3.40%,3.30%,3.10%,40.33,35.77,7.2,387,2259
福建省,24年第28周（20240708-20240714）,3959.7万,3513.6万,97.6万,94769,3.30%,3.30%,3.10%,40.53,35.96,10.3,387,2260
福建省,24年第29周（20240715-20240721）,5565.4万,4948.4万,138.1万,94202,3.10%,3.10%,3.10%,40.29,35.83,14.7,385,2252
福建省,24年第30周（20240722-20240728）,3926.3万,3489.3万,96.9万,90841,2.90%,2.90%,3.00%,40.48,35.98,10.7,386,2253
福建省,24年第31周（20240729-20240804）,3192.0万,2831.8万,78.6万,90090,3.20%,3.10%,3.10%,40.56,35.98,8.7,386,2252
福建省,24年第32周（20240805-20240811）,3190.0万,2831.4万,78.0万,89898,3.20%,3.10%,3.10%,40.87,36.27,8.7,385,2255
福建省,24年第33周（20240812-20240818）,3220.6万,2849.7万,80.7万,91676,3.40%,3.30%,3.10%,39.88,35.29,8.8,386,2263
福建省,24年第34周（20240819-20240825）,3485.4万,3074.6万,88.4万,94607,3.50%,3.50%,3.10%,39.39,34.75,9.4,388,2278
