地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
西藏自治区,24年第1周（20240101-20240107）,154.8万,143.0万,3.4万,5937,0.10%,0.10%,0.20%,45.08,41.65,5.8,42,0
西藏自治区,24年第2周（20240108-20240114）,97.6万,90.3万,2.1万,5926,0.10%,0.10%,0.20%,44.49,41.16,3.7,40,0
西藏自治区,24年第3周（20240115-20240121）,91.3万,84.5万,2.0万,6018,0.10%,0.10%,0.20%,44.14,40.87,3.4,37,0
西藏自治区,24年第4周（20240122-20240128）,80.1万,74.3万,1.7万,6102,0.10%,0.20%,0.20%,46.68,43.32,2.8,36,0
西藏自治区,24年第5周（20240129-20240204）,51.9万,48.1万,1.1万,5889,0.10%,0.10%,0.20%,44.03,40.8,2,40,0
西藏自治区,24年第6周（20240205-20240211）,187.3万,173.1万,3.9万,5213,0.00%,0.00%,0.10%,47.78,44.18,7.5,40,0
西藏自治区,24年第7周（20240212-20240218）,500.4万,465.4万,10.6万,6011,0.00%,0.00%,0.10%,47.05,43.75,17.7,44,0
西藏自治区,24年第8周（20240219-20240225）,279.1万,261.1万,6.1万,5629,0.10%,0.10%,0.10%,45.38,42.46,10.9,45,0
西藏自治区,24年第9周（20240226-20240303）,162.2万,150.2万,3.6万,5467,0.20%,0.20%,0.20%,44.98,41.65,6.6,47,0
西藏自治区,24年第10周（20240304-20240310）,139.6万,128.1万,3.1万,5399,0.10%,0.10%,0.20%,44.91,41.22,5.8,44,163
西藏自治区,24年第11周（20240311-20240317）,99.4万,90.9万,2.2万,5234,0.10%,0.10%,0.20%,44.56,40.76,4.3,45,164
西藏自治区,24年第12周（20240318-20240324）,79.1万,72.2万,1.7万,5144,0.10%,0.20%,0.20%,44.83,40.96,3.4,44,163
西藏自治区,24年第13周（20240325-20240331）,122.7万,111.9万,2.6万,5197,0.20%,0.20%,0.20%,46.29,42.23,5.1,45,164
西藏自治区,24年第14周（20240401-20240407）,270.3万,245.4万,6.0万,5704,0.20%,0.20%,0.20%,44.77,40.64,10.6,44,164
西藏自治区,24年第15周（20240408-20240414）,188.8万,172.0万,4.3万,5913,0.40%,0.40%,0.20%,43.8,39.91,7.3,46,165
西藏自治区,24年第16周（20240415-20240421）,122.2万,111.0万,2.7万,6102,0.40%,0.40%,0.20%,44.2,40.17,4.5,46,166
西藏自治区,24年第17周（20240422-20240428）,63.4万,56.5万,1.4万,5915,0.20%,0.20%,0.20%,44.86,39.98,2.4,42,161
西藏自治区,24年第18周（20240429-20240505）,255.3万,235.7万,5.6万,6061,0.10%,0.10%,0.20%,44.92,41.48,9.4,43,163
西藏自治区,24年第19周（20240506-20240512）,108.6万,98.7万,2.4万,5242,0.20%,0.20%,0.20%,44.65,40.59,4.6,45,158
西藏自治区,24年第20周（20240513-20240519）,97.3万,87.8万,2.2万,5493,0.20%,0.20%,0.20%,44.14,39.85,4,43,157
西藏自治区,24年第21周（20240520-20240526）,86.4万,78.2万,1.9万,5467,0.20%,0.20%,0.10%,44.25,40.04,3.6,44,158
西藏自治区,24年第22周（20240527-20240602）,82.1万,74.1万,1.8万,5311,0.10%,0.10%,0.10%,43.76,39.52,3.5,40,153
西藏自治区,24年第23周（20240603-20240609）,75.6万,68.5万,1.7万,5322,0.10%,0.10%,0.10%,43.91,39.76,3.2,40,151
西藏自治区,24年第24周（20240610-20240616）,73.9万,66.7万,1.6万,5515,0.10%,0.10%,0.10%,43.95,39.64,3.1,41,151
西藏自治区,24年第25周（20240617-20240623）,65.8万,59.5万,1.4万,5508,0.10%,0.10%,0.10%,44,39.81,2.7,37,146
西藏自治区,24年第26周（20240624-20240630）,79.1万,71.9万,1.7万,5454,0.10%,0.10%,0.10%,44.84,40.79,3.2,36,146
西藏自治区,24年第27周（20240701-20240707）,121.8万,110.4万,2.7万,5528,0.10%,0.10%,0.10%,45.08,40.87,4.9,41,149
西藏自治区,24年第28周（20240708-20240714）,177.3万,160.4万,3.9万,5478,0.10%,0.10%,0.10%,45.19,40.88,7.2,41,148
西藏自治区,24年第29周（20240715-20240721）,236.3万,213.8万,5.2万,5410,0.10%,0.10%,0.10%,44.64,40.39,9.8,41,148
西藏自治区,24年第30周（20240722-20240728）,196.6万,177.6万,4.3万,5334,0.10%,0.10%,0.10%,45.05,40.7,8.2,39,145
西藏自治区,24年第31周（20240729-20240804）,164.1万,148.8万,3.6万,5218,0.10%,0.10%,0.10%,44.89,40.71,7,38,145
西藏自治区,24年第32周（20240805-20240811）,173.5万,156.7万,3.8万,5226,0.10%,0.10%,0.10%,44.74,40.41,7.4,43,153
西藏自治区,24年第33周（20240812-20240818）,144.9万,131.3万,3.2万,5318,0.10%,0.10%,0.10%,44.28,40.13,6.2,42,154
