地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
贵州省,24年第1周（20240101-20240107）,1090.2万,984.2万,27.1万,45763,1.10%,1.10%,1.60%,40.1,36.2,5.9,231,0
贵州省,24年第2周（20240108-20240114）,632.0万,574.3万,16.1万,44479,1.10%,1.10%,1.60%,39.24,35.65,3.6,231,0
贵州省,24年第3周（20240115-20240121）,659.6万,599.0万,16.9万,45310,1.30%,1.30%,1.60%,38.96,35.38,3.7,229,0
贵州省,24年第4周（20240122-20240128）,506.2万,457.7万,13.2万,45673,1.20%,1.20%,1.60%,38.18,34.52,2.9,230,0
贵州省,24年第5周（20240129-20240204）,453.2万,410.0万,11.5万,44787,1.40%,1.40%,1.60%,39.35,35.6,2.6,231,0
贵州省,24年第6周（20240205-20240211）,2700.9万,2437.2万,59.7万,42468,1.00%,1.00%,1.60%,45.2,40.79,14.1,234,0
贵州省,24年第7周（20240212-20240218）,7755.0万,7041.7万,172.9万,54403,1.20%,1.20%,1.60%,44.83,40.71,31.8,234,0
贵州省,24年第8周（20240219-20240225）,2992.2万,2727.3万,69.5万,48599,1.50%,1.50%,1.60%,43.01,39.21,14.3,236,0
贵州省,24年第9周（20240226-20240303）,1204.3万,1094.5万,29.2万,43496,1.50%,1.50%,1.60%,41.11,37.36,6.7,235,0
贵州省,24年第10周（20240304-20240310）,1107.6万,1000.7万,27.5万,43094,1.30%,1.30%,1.60%,40.26,36.37,6.4,235,1256
贵州省,24年第11周（20240311-20240317）,715.5万,645.5万,17.8万,41468,1.30%,1.30%,1.60%,40.02,36.1,4.3,232,1237
贵州省,24年第12周（20240318-20240324）,492.6万,445.1万,12.3万,41533,1.20%,1.20%,1.60%,39.89,36.04,3,232,1223
贵州省,24年第13周（20240325-20240331）,640.5万,576.0万,15.6万,41717,1.10%,1.10%,1.60%,40.99,36.86,3.7,232,1228
贵州省,24年第14周（20240401-20240407）,1443.0万,1289.6万,36.6万,45537,1.20%,1.20%,1.60%,39.37,35.19,8,233,1246
贵州省,24年第15周（20240408-20240414）,536.4万,482.4万,13.7万,43651,1.20%,1.20%,1.60%,39.05,35.12,3.1,231,1215
贵州省,24年第16周（20240415-20240421）,380.8万,343.6万,9.7万,44103,1.20%,1.20%,1.60%,39.17,35.34,2.2,234,1222
贵州省,24年第17周（20240422-20240428）,259.9万,234.0万,6.5万,42479,1.10%,1.10%,1.60%,39.62,35.67,1.5,233,1217
贵州省,24年第18周（20240429-20240505）,1891.5万,1701.7万,47.9万,47283,1.10%,1.10%,1.50%,39.45,35.49,10.1,233,1253
