地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
辽宁省,24年第1周（20240101-20240107）,3396.8万,3073.2万,87.5万,81862,3.40%,3.40%,2.90%,38.79,35.1,10.7,323,0
辽宁省,24年第2周（20240108-20240114）,2386.9万,2176.2万,61.6万,81028,4.20%,4.30%,3.00%,38.7,35.28,7.6,326,0
辽宁省,24年第3周（20240115-20240121）,1828.4万,1659.7万,48.2万,83948,3.60%,3.60%,3.00%,37.92,34.42,5.7,327,0
辽宁省,24年第4周（20240122-20240128）,1189.8万,1065.6万,32.7万,82628,2.80%,2.80%,3.00%,36.32,32.53,4,328,0
辽宁省,24年第5周（20240129-20240204）,861.0万,765.3万,24.0万,79242,2.70%,2.70%,2.90%,35.86,31.87,3,327,0
辽宁省,24年第6周（20240205-20240211）,9416.3万,8586.6万,195.2万,74720,3.60%,3.60%,2.80%,48.24,43.99,26.1,334,0
辽宁省,24年第7周（20240212-20240218）,2.12亿,1.94亿,453.5万,97988,3.50%,3.50%,2.90%,46.91,42.93,46.3,337,0
辽宁省,24年第8周（20240219-20240225）,5649.7万,5158.2万,131.5万,85649,2.90%,2.90%,2.90%,42.95,39.22,15.4,339,0
辽宁省,24年第9周（20240226-20240303）,2865.1万,2607.0万,70.4万,79367,3.60%,3.60%,3.00%,40.66,37,8.9,334,0
辽宁省,24年第10周（20240304-20240310）,2199.6万,1991.6万,56.1万,76145,2.60%,2.60%,2.90%,39.21,35.5,7.4,334,2152
辽宁省,24年第11周（20240311-20240317）,1449.6万,1307.0万,37.0万,74371,2.60%,2.60%,2.90%,39.14,35.29,5,331,2134
辽宁省,24年第12周（20240318-20240324）,1149.3万,1039.4万,29.5万,74919,2.80%,2.80%,2.90%,38.92,35.2,3.9,331,2114
辽宁省,24年第13周（20240325-20240331）,1559.2万,1402.9万,38.5万,75269,2.80%,2.80%,2.90%,40.42,36.37,5.1,327,2091
辽宁省,24年第14周（20240401-20240407）,3031.5万,2709.6万,79.3万,83118,2.50%,2.50%,2.90%,38.2,34.14,9.5,330,2132
辽宁省,24年第15周（20240408-20240414）,1135.7万,1023.0万,29.6万,80999,2.60%,2.60%,2.90%,38.27,34.48,3.7,325,2098
辽宁省,24年第16周（20240415-20240421）,789.2万,714.9万,20.6万,81175,2.60%,2.60%,2.90%,38.27,34.66,2.5,329,2117
辽宁省,24年第17周（20240422-20240428）,626.4万,570.7万,16.3万,76326,2.70%,2.70%,2.90%,38.28,34.88,2.1,321,2069
辽宁省,24年第18周（20240429-20240505）,5538.0万,5023.1万,144.8万,89416,3.30%,3.30%,2.90%,38.24,34.69,16.2,328,2132
辽宁省,24年第19周（20240506-20240512）,1648.2万,1491.7万,43.1万,80453,3.40%,3.40%,3.10%,38.21,34.59,5.4,327,2109
辽宁省,24年第20周（20240513-20240519）,1174.2万,1060.1万,30.4万,81992,2.90%,2.90%,3.00%,38.52,34.77,3.7,327,2120
辽宁省,24年第21周（20240520-20240526）,1147.0万,1041.3万,29.9万,83372,2.80%,2.80%,3.00%,38.23,34.71,3.6,326,2117
辽宁省,24年第22周（20240527-20240602）,1209.2万,1095.1万,32.7万,82185,2.80%,2.80%,3.00%,36.93,33.45,4,323,2100
辽宁省,24年第23周（20240603-20240609）,1224.5万,1114.1万,31.7万,82075,2.90%,3.00%,2.90%,38.55,35.08,3.9,325,2112
辽宁省,24年第24周（20240610-20240616）,1341.3万,1218.6万,34.8万,84913,2.90%,2.90%,2.90%,38.48,34.96,4.1,325,2096
辽宁省,24年第25周（20240617-20240623）,1243.2万,1123.2万,32.3万,83747,2.50%,2.50%,2.90%,38.43,34.72,3.9,325,2099
辽宁省,24年第26周（20240624-20240630）,1385.6万,1257.7万,35.9万,81978,2.30%,2.30%,2.90%,38.53,34.97,4.4,322,2098
辽宁省,24年第27周（20240701-20240707）,1902.0万,1726.8万,48.5万,84009,2.40%,2.40%,2.80%,39.21,35.6,5.8,326,2116
辽宁省,24年第28周（20240708-20240714）,3680.1万,3345.5万,91.2万,85963,3.10%,3.10%,2.80%,40.35,36.68,10.6,328,2139
辽宁省,24年第29周（20240715-20240721）,6230.6万,5663.9万,157.4万,85244,3.50%,3.50%,2.80%,39.56,35.97,18.5,325,2126
辽宁省,24年第30周（20240722-20240728）,3974.1万,3599.8万,100.1万,86145,3.00%,3.00%,2.80%,39.7,35.96,11.6,328,2145
辽宁省,24年第31周（20240729-20240804）,3056.8万,2769.0万,77.3万,83100,3.00%,3.00%,2.80%,39.49,35.78,9.3,324,2122
辽宁省,24年第32周（20240805-20240811）,2897.3万,2626.1万,72.6万,83552,2.90%,2.90%,2.90%,39.86,36.13,8.7,331,2157
辽宁省,24年第33周（20240812-20240818）,2593.5万,2345.7万,66.6万,85969,2.70%,2.70%,2.90%,38.94,35.22,7.7,330,2148
