地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
重庆市,24年第1周（20240101-20240107）,2177.2万,1941.8万,56.5万,71766,2.20%,2.10%,2.60%,38.52,34.35,7.9,267,0
重庆市,24年第2周（20240108-20240114）,1208.7万,1079.2万,31.5万,69792,2.10%,2.10%,2.60%,38.33,34.23,4.5,266,0
重庆市,24年第3周（20240115-20240121）,1326.8万,1176.9万,36.3万,71660,2.60%,2.50%,2.60%,36.55,32.42,5.1,266,0
重庆市,24年第4周（20240122-20240128）,944.9万,837.4万,26.0万,73391,2.30%,2.20%,2.60%,36.32,32.19,3.5,269,0
重庆市,24年第5周（20240129-20240204）,785.6万,696.0万,21.6万,71827,2.40%,2.40%,2.60%,36.21,32.08,3,270,0
重庆市,24年第6周（20240205-20240211）,4620.7万,4212.7万,101.5万,70319,1.70%,1.70%,2.60%,45.49,41.47,14.4,275,0
重庆市,24年第7周（20240212-20240218）,1.21亿,1.10亿,270.0万,85427,2.00%,2.00%,2.50%,44.87,41.08,31.6,275,0
重庆市,24年第8周（20240219-20240225）,3903.6万,3556.2万,93.3万,73933,2.00%,2.00%,2.50%,41.83,38.11,12.6,275,0
重庆市,24年第9周（20240226-20240303）,1865.0万,1679.6万,46.6万,68547,2.30%,2.30%,2.60%,40,36.02,6.8,273,0
重庆市,24年第10周（20240304-20240310）,2044.5万,1847.4万,51.9万,66924,2.40%,2.40%,2.60%,39.34,35.55,7.8,270,1920
重庆市,24年第11周（20240311-20240317）,1276.9万,1152.7万,32.4万,65385,2.30%,2.30%,2.60%,39.35,35.52,5,270,1907
重庆市,24年第12周（20240318-20240324）,930.4万,842.0万,23.7万,65228,2.30%,2.30%,2.60%,39.16,35.44,3.6,271,1908
重庆市,24年第13周（20240325-20240331）,1404.2万,1271.9万,34.5万,65587,2.50%,2.50%,2.50%,40.62,36.79,5.3,272,1905
重庆市,24年第14周（20240401-20240407）,3080.0万,2737.6万,79.7万,74182,2.60%,2.60%,2.60%,38.64,34.34,10.7,270,1932
重庆市,24年第15周（20240408-20240414）,1004.7万,897.6万,26.0万,71392,2.30%,2.30%,2.60%,38.64,34.52,3.6,269,1900
重庆市,24年第16周（20240415-20240421）,735.3万,656.4万,18.8万,70866,2.40%,2.40%,2.60%,39,34.81,2.7,270,1901
重庆市,24年第17周（20240422-20240428）,497.8万,443.7万,12.4万,66439,2.20%,2.10%,2.50%,39.83,35.5,1.9,268,1880
重庆市,24年第18周（20240429-20240505）,3629.5万,3299.2万,91.6万,78047,2.20%,2.20%,2.60%,39.62,36.01,11.7,271,1936
重庆市,24年第19周（20240506-20240512）,1083.8万,974.5万,27.4万,66694,2.20%,2.20%,2.50%,39.44,35.47,4.1,270,1919
重庆市,24年第20周（20240513-20240519）,929.2万,838.9万,23.6万,71383,2.30%,2.30%,2.60%,39.29,35.47,3.3,271,1933
重庆市,24年第21周（20240520-20240526）,918.8万,832.3万,23.1万,72329,2.30%,2.30%,2.60%,39.62,35.89,3.2,271,1928
重庆市,24年第22周（20240527-20240602）,1099.5万,988.9万,29.0万,71610,2.60%,2.60%,2.60%,37.87,34.06,4.1,271,1935
重庆市,24年第23周（20240603-20240609）,921.6万,826.1万,23.4万,71616,2.20%,2.20%,2.50%,39.37,35.3,3.3,271,1934
重庆市,24年第24周（20240610-20240616）,1010.7万,905.8万,26.1万,76470,2.10%,2.10%,2.60%,38.67,34.66,3.4,271,1919
重庆市,24年第25周（20240617-20240623）,1080.1万,972.4万,26.7万,74603,2.20%,2.10%,2.60%,40.38,36.35,3.6,269,1907
重庆市,24年第26周（20240624-20240630）,1514.2万,1369.5万,38.0万,74047,2.50%,2.50%,2.60%,39.76,35.96,5.1,271,1931
重庆市,24年第27周（20240701-20240707）,1913.9万,1727.5万,47.5万,76476,2.40%,2.40%,2.60%,40.24,36.32,6.2,271,1938
重庆市,24年第28周（20240708-20240714）,2520.8万,2270.0万,62.8万,77201,2.10%,2.10%,2.50%,40.08,36.1,8.1,270,1934
重庆市,24年第29周（20240715-20240721）,3672.4万,3323.2万,91.7万,76080,2.00%,2.00%,2.50%,40.01,36.2,12.1,272,1932
重庆市,24年第30周（20240722-20240728）,2804.1万,2531.4万,69.6万,76578,2.10%,2.10%,2.50%,40.25,36.34,9.1,269,1936
重庆市,24年第31周（20240729-20240804）,2162.2万,1955.0万,53.6万,73604,2.10%,2.10%,2.50%,40.29,36.43,7.3,269,1936
重庆市,24年第32周（20240805-20240811）,2231.9万,2019.5万,55.3万,74168,2.20%,2.20%,2.50%,40.32,36.48,7.5,270,1940
重庆市,24年第33周（20240812-20240818）,2112.7万,1902.8万,53.5万,74727,2.20%,2.20%,2.50%,39.49,35.56,7.2,269,1928
重庆市,24年第34周（20240819-20240825）,2277.8万,2046.8万,58.6万,77190,2.30%,2.30%,2.50%,38.85,34.91,7.6,269,1933
重庆市,24年第35周（20240826-20240901）,1501.0万,1352.5万,38.1万,75910,2.50%,2.50%,2.50%,39.38,35.48,5,267,1915
重庆市,24年第36周（20240902-20240908）,895.6万,805.5万,23.0万,71133,3.10%,3.00%,2.60%,38.84,34.93,3.2,269,1908
重庆市,24年第37周（20240909-20240915）,775.7万,705.4万,19.9万,66830,2.70%,2.70%,2.50%,38.98,35.45,3,269,1925
重庆市,24年第38周（20240916-20240922）,1353.2万,1241.7万,31.4万,71586,2.60%,2.70%,2.50%,43.01,39.46,4.4,270,1911
重庆市,24年第39周（20240923-20240929）,456.7万,417.4万,11.3万,62809,2.20%,2.20%,2.40%,40.11,36.66,1.8,269,1875
重庆市,24年第40周（20240930-20241006）,4599.9万,4197.0万,115.1万,81672,2.20%,2.20%,2.50%,39.96,36.46,14.1,273,1943
重庆市,24年第41周（20241007-20241013）,1152.7万,1048.2万,29.5万,69133,2.20%,2.20%,2.50%,39.05,35.51,4.3,273,1931
重庆市,24年第42周（20241014-20241020）,829.7万,752.3万,21.4万,65724,2.20%,2.20%,2.50%,38.64,35.04,3.3,270,1910
重庆市,24年第43周（20241021-20241027）,1400.7万,1265.2万,35.3万,68789,2.20%,2.20%,2.50%,39.68,35.84,5.1,269,1918
重庆市,24年第44周（20241028-20241103）,1104.8万,995.4万,28.2万,68695,2.20%,2.20%,2.50%,39.08,35.21,4.1,268,1892
重庆市,24年第45周（20241104-20241110）,1017.9万,915.8万,26.2万,66766,2.30%,2.30%,2.50%,38.84,34.94,3.9,267,1900
重庆市,24年第46周（20241111-20241117）,723.0万,647.8万,18.8万,65351,2.10%,2.10%,2.40%,38.31,34.33,2.9,266,1883
重庆市,24年第47周（20241118-20241124）,912.8万,819.9万,23.8万,63750,2.10%,2.10%,2.40%,38.25,34.36,3.7,266,1889
重庆市,24年第48周（20241125-20241201）,994.5万,895.1万,25.6万,64839,2.00%,1.90%,2.40%,38.75,34.88,4,265,1876
重庆市,24年第49周（20241202-20241208）,1002.1万,914.7万,27.1万,66529,2.40%,2.40%,2.50%,36.97,33.75,4.1,264,1876
重庆市,24年第50周（20241209-20241215）,847.1万,780.1万,21.3万,65935,2.20%,2.30%,2.50%,39.73,36.59,3.2,265,1879
重庆市,24年第51周（20241216-20241222）,803.3万,727.6万,20.7万,62995,2.10%,2.10%,2.50%,38.78,35.13,3.3,267,1892
重庆市,24年第52周（20241223-20241229）,1377.6万,1255.9万,35.1万,65531,2.20%,2.20%,2.50%,39.17,35.71,5.4,267,1910
重庆市,24年第53周（20241230-20240105）,0,0,0,0,--,--,--,--,--,--,0,0
重庆市,25年第1周（20250106-20250112）,877.0万,793.9万,23.0万,69597,2.00%,2.00%,2.40%,38.05,34.45,3.3,265,0
重庆市,25年第2周（20250113-20250119）,898.7万,808.7万,23.9万,69545,2.40%,2.40%,2.40%,37.54,33.79,3.4,267,0
重庆市,25年第3周（20250120-20250126）,741.7万,662.3万,19.6万,68337,2.30%,2.30%,2.40%,37.71,33.67,2.9,269,0
重庆市,25年第4周（20250127-20250202）,1.55亿,1.40亿,323.9万,72963,2.10%,2.20%,2.40%,48.05,43.37,44.4,273,0
