地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
陕西省,24年第1周（20240101-20240107）,2939.5万,2637.5万,73.9万,75793,2.90%,2.90%,2.70%,39.77,35.68,9.8,345,0
陕西省,24年第2周（20240108-20240114）,1614.4万,1443.9万,41.9万,73547,2.80%,2.80%,2.70%,38.51,34.45,5.7,345,0
陕西省,24年第3周（20240115-20240121）,1416.0万,1263.2万,36.6万,75757,2.70%,2.70%,2.70%,38.59,34.42,4.8,345,0
陕西省,24年第4周（20240122-20240128）,1171.1万,1044.2万,30.7万,75488,2.80%,2.80%,2.70%,38.07,33.94,4.1,348,0
陕西省,24年第5周（20240129-20240204）,915.7万,816.1万,24.0万,73495,2.90%,2.90%,2.70%,38.09,33.95,3.3,356,0
陕西省,24年第6周（20240205-20240211）,6897.9万,6241.5万,144.7万,72200,2.60%,2.60%,2.70%,47.66,43.13,20,362,0
陕西省,24年第7周（20240212-20240218）,1.66亿,1.52亿,359.2万,94958,2.70%,2.80%,2.80%,46.45,42.37,37.8,361,0
陕西省,24年第8周（20240219-20240225）,6332.3万,5771.8万,146.1万,82891,3.30%,3.30%,2.80%,43.32,39.48,17.6,360,0
陕西省,24年第9周（20240226-20240303）,2261.6万,2044.3万,54.8万,73980,2.80%,2.80%,2.80%,41.21,37.25,7.4,361,0
陕西省,24年第10周（20240304-20240310）,2367.4万,2147.3万,58.7万,72469,2.80%,2.80%,2.80%,40.33,36.58,8.1,359,2132
陕西省,24年第11周（20240311-20240317）,1582.4万,1436.6万,39.6万,70803,2.90%,2.90%,2.80%,39.88,36.21,5.6,357,2119
陕西省,24年第12周（20240318-20240324）,1136.9万,1019.4万,28.4万,70801,2.80%,2.80%,2.80%,40,35.87,4,356,2100
陕西省,24年第13周（20240325-20240331）,1302.7万,1168.0万,31.7万,70617,2.30%,2.30%,2.70%,40.98,36.75,4.5,355,2095
陕西省,24年第14周（20240401-20240407）,3021.1万,2674.2万,76.5万,79695,2.50%,2.50%,2.80%,39.46,34.93,9.6,358,2142
陕西省,24年第15周（20240408-20240414）,1130.4万,1002.3万,28.7万,77428,2.60%,2.60%,2.80%,39.26,34.81,3.7,360,2126
陕西省,24年第16周（20240415-20240421）,800.6万,712.4万,20.3万,77906,2.60%,2.60%,2.80%,39.41,35.07,2.6,360,2131
陕西省,24年第17周（20240422-20240428）,556.5万,496.6万,14.0万,73580,2.40%,2.40%,2.80%,39.66,35.39,1.9,362,2121
陕西省,24年第18周（20240429-20240505）,4203.8万,3749.9万,104.5万,86232,2.50%,2.50%,2.80%,40.19,35.85,12.1,364,2173
