地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
青海省,24年第1周（20240101-20240107）,304.2万,271.9万,6.8万,8798,0.30%,0.30%,0.30%,44.5,39.79,7.8,47,0
青海省,24年第2周（20240108-20240114）,198.5万,177.0万,4.5万,8680,0.30%,0.30%,0.30%,43.52,38.79,5.3,49,0
青海省,24年第3周（20240115-20240121）,206.3万,183.6万,4.7万,9031,0.40%,0.40%,0.30%,43.28,38.52,5.3,49,0
青海省,24年第4周（20240122-20240128）,167.2万,149.0万,3.8万,9142,0.40%,0.40%,0.30%,43.29,38.58,4.2,47,0
青海省,24年第5周（20240129-20240204）,122.3万,109.4万,2.8万,8938,0.30%,0.30%,0.30%,43,38.48,3.2,49,0
青海省,24年第6周（20240205-20240211）,717.3万,650.9万,13.2万,8553,0.20%,0.20%,0.30%,54.28,49.25,15.5,52,0
青海省,24年第7周（20240212-20240218）,1785.6万,1630.5万,33.1万,10438,0.20%,0.30%,0.30%,53.92,49.23,31.7,50,0
青海省,24年第8周（20240219-20240225）,761.9万,683.4万,15.2万,9519,0.40%,0.30%,0.30%,49.97,44.82,16,52,0
青海省,24年第9周（20240226-20240303）,375.6万,335.6万,7.8万,9033,0.40%,0.40%,0.30%,47.9,42.79,8.7,51,0
青海省,24年第10周（20240304-20240310）,270.9万,242.8万,6.0万,8719,0.30%,0.30%,0.30%,44.63,40,7,51,253
青海省,24年第11周（20240311-20240317）,168.3万,149.6万,3.7万,8281,0.30%,0.30%,0.30%,45.28,40.26,4.5,52,248
青海省,24年第12周（20240318-20240324）,138.0万,122.7万,3.0万,8225,0.30%,0.30%,0.30%,45.1,40.13,3.7,50,243
青海省,24年第13周（20240325-20240331）,171.2万,152.7万,3.7万,8520,0.30%,0.30%,0.30%,46.06,41.09,4.4,50,248
青海省,24年第14周（20240401-20240407）,357.4万,318.5万,7.9万,9519,0.30%,0.30%,0.30%,44.86,39.98,8.4,50,249
青海省,24年第15周（20240408-20240414）,189.3万,169.1万,4.2万,9645,0.40%,0.40%,0.30%,44.61,39.84,4.4,50,246
青海省,24年第16周（20240415-20240421）,124.6万,111.3万,2.7万,9336,0.40%,0.40%,0.30%,44.63,39.86,3,50,246
青海省,24年第17周（20240422-20240428）,75.9万,67.9万,1.7万,9105,0.30%,0.30%,0.30%,44.37,39.66,1.9,50,243
青海省,24年第18周（20240429-20240505）,424.5万,382.1万,9.5万,8989,0.20%,0.20%,0.30%,44.62,40.17,10.6,51,250
青海省,24年第19周（20240506-20240512）,143.3万,126.9万,3.2万,8330,0.20%,0.20%,0.30%,44.04,39.01,3.9,51,245
青海省,24年第20周（20240513-20240519）,128.3万,113.4万,2.9万,9207,0.30%,0.30%,0.30%,43.91,38.81,3.2,51,248
青海省,24年第21周（20240520-20240526）,119.3万,105.8万,2.7万,9342,0.20%,0.20%,0.30%,43.9,38.91,2.9,49,244
青海省,24年第22周（20240527-20240602）,149.6万,132.6万,3.4万,9217,0.30%,0.30%,0.30%,42.76,37.91,3.8,49,243
青海省,24年第23周（20240603-20240609）,113.3万,100.3万,2.6万,9161,0.20%,0.20%,0.30%,42.54,37.68,2.9,51,249
青海省,24年第24周（20240610-20240616）,110.4万,97.6万,2.5万,9641,0.20%,0.20%,0.30%,42.64,37.71,2.7,51,248
青海省,24年第25周（20240617-20240623）,111.8万,99.2万,2.5万,9684,0.20%,0.20%,0.30%,43.1,38.24,2.7,51,243
青海省,24年第26周（20240624-20240630）,135.0万,119.9万,3.1万,9483,0.20%,0.20%,0.30%,43.07,38.27,3.3,49,245
青海省,24年第27周（20240701-20240707）,177.5万,157.6万,4.0万,9724,0.20%,0.20%,0.30%,43.99,39.06,4.2,50,250
青海省,24年第28周（20240708-20240714）,291.4万,259.9万,6.5万,9786,0.20%,0.20%,0.30%,44.33,39.53,6.7,50,249
青海省,24年第29周（20240715-20240721）,462.0万,413.6万,10.4万,9528,0.20%,0.20%,0.30%,44.4,39.75,10.9,51,248
青海省,24年第30周（20240722-20240728）,374.6万,335.2万,8.3万,9452,0.20%,0.20%,0.30%,44.74,40.03,8.9,50,249
青海省,24年第31周（20240729-20240804）,289.0万,258.2万,6.4万,9271,0.20%,0.20%,0.30%,44.8,40.03,7,50,250
青海省,24年第32周（20240805-20240811）,297.7万,265.4万,6.6万,9275,0.30%,0.20%,0.30%,44.78,39.92,7.2,50,251
青海省,24年第33周（20240812-20240818）,270.1万,240.7万,6.1万,9307,0.20%,0.20%,0.30%,44.24,39.44,6.6,49,247
青海省,24年第34周（20240819-20240825）,294.2万,262.0万,6.6万,9798,0.30%,0.20%,0.30%,43.95,39.13,6.8,51,257
青海省,24年第35周（20240826-20240901）,188.1万,168.2万,4.3万,9875,0.30%,0.30%,0.30%,43.28,38.71,4.4,50,253
青海省,24年第36周（20240902-20240908）,100.0万,89.3万,2.2万,9336,0.30%,0.30%,0.30%,43.62,38.95,2.5,51,253
青海省,24年第37周（20240909-20240915）,91.2万,81.6万,2.0万,9418,0.30%,0.30%,0.30%,43.46,38.9,2.2,52,261
青海省,24年第38周（20240916-20240922）,163.8万,147.0万,3.7万,9904,0.30%,0.30%,0.30%,43.18,38.76,3.8,51,257
青海省,24年第39周（20240923-20240929）,72.0万,64.9万,1.6万,9407,0.30%,0.30%,0.30%,42.72,38.46,1.8,52,256
青海省,24年第40周（20240930-20241006）,604.2万,545.2万,13.7万,10614,0.20%,0.20%,0.30%,43.89,39.6,13,52,263
青海省,24年第41周（20241007-20241013）,167.6万,150.5万,3.9万,9667,0.30%,0.30%,0.30%,42.95,38.56,4,53,261
青海省,24年第42周（20241014-20241020）,123.8万,111.2万,2.8万,9330,0.30%,0.30%,0.30%,42.71,38.36,3.1,53,260
青海省,24年第43周（20241021-20241027）,189.9万,172.0万,4.5万,9594,0.30%,0.30%,0.30%,41.84,37.9,4.7,53,266
青海省,24年第44周（20241028-20241103）,154.8万,139.9万,3.7万,10066,0.30%,0.30%,0.30%,41.62,37.63,3.7,54,264
青海省,24年第45周（20241104-20241110）,160.9万,144.8万,3.8万,10080,0.30%,0.30%,0.30%,41.7,37.53,3.8,54,266
青海省,24年第46周（20241111-20241117）,121.2万,109.0万,2.9万,10108,0.30%,0.30%,0.30%,41.56,37.38,2.9,53,267
青海省,24年第47周（20241118-20241124）,128.7万,115.6万,3.0万,9959,0.30%,0.30%,0.30%,41.91,37.68,3.1,53,267
青海省,24年第48周（20241125-20241201）,157.1万,141.3万,3.6万,10025,0.30%,0.30%,0.30%,42.62,38.34,3.7,53,265
青海省,24年第49周（20241202-20241208）,138.9万,126.0万,3.3万,10189,0.30%,0.30%,0.30%,41.9,38.02,3.3,52,262
青海省,24年第50周（20241209-20241215）,117.5万,106.7万,2.8万,9789,0.30%,0.30%,0.30%,41.79,37.96,2.9,52,264
青海省,24年第51周（20241216-20241222）,116.8万,105.3万,2.7万,9454,0.30%,0.30%,0.30%,42.47,38.29,2.9,52,261
青海省,24年第52周（20241223-20241229）,173.1万,156.9万,4.0万,9572,0.20%,0.20%,0.30%,42.71,38.71,4.2,52,266
青海省,24年第53周（20241230-20240105）,0,0,0,0,--,--,--,--,--,--,0,0
青海省,25年第1周（20250106-20250112）,190.1万,172.0万,4.4万,10334,0.40%,0.40%,0.30%,42.99,38.91,4.3,53,0
青海省,25年第2周（20250113-20250119）,151.9万,136.6万,3.5万,10396,0.40%,0.40%,0.30%,43.26,38.91,3.4,52,0
