地区,时间范围,综合票房,分账票房,人次,场次,综合票房全国占比,分账票房全国占比,排片全国占比,平均票价（含服务费）,平均票价（不含服务费）,场均人次,排片影院,排片影厅
黑龙江省,24年第1周（20240101-20240107）,1511.9万,1379.5万,38.8万,50550,1.50%,1.50%,1.80%,38.94,35.53,7.7,229,0
黑龙江省,24年第2周（20240108-20240114）,870.6万,784.0万,23.1万,49594,1.50%,1.50%,1.80%,37.67,33.92,4.7,226,0
黑龙江省,24年第3周（20240115-20240121）,744.2万,671.0万,19.7万,51098,1.40%,1.40%,1.80%,37.62,33.92,3.9,227,0
黑龙江省,24年第4周（20240122-20240128）,574.3万,517.0万,15.3万,50908,1.30%,1.40%,1.80%,37.45,33.71,3,226,0
黑龙江省,24年第5周（20240129-20240204）,501.8万,453.0万,13.2万,50068,1.50%,1.60%,1.80%,38.01,34.31,2.6,231,0
黑龙江省,24年第6周（20240205-20240211）,4359.6万,3981.2万,91.9万,47341,1.60%,1.60%,1.70%,47.43,43.31,19.4,233,0
黑龙江省,24年第7周（20240212-20240218）,9880.9万,9031.9万,209.3万,59350,1.60%,1.60%,1.70%,47.2,43.15,35.3,233,0
黑龙江省,24年第8周（20240219-20240225）,2861.0万,2625.6万,65.4万,52627,1.50%,1.50%,1.70%,43.71,40.11,12.4,233,0
黑龙江省,24年第9周（20240226-20240303）,1395.6万,1279.5万,34.0万,49093,1.70%,1.70%,1.80%,41,37.59,6.9,232,0
黑龙江省,24年第10周（20240304-20240310）,1157.9万,1060.5万,29.5万,47235,1.40%,1.40%,1.80%,39.19,35.89,6.3,231,1285
黑龙江省,24年第11周（20240311-20240317）,715.3万,646.6万,18.1万,46014,1.30%,1.30%,1.80%,39.5,35.7,3.9,231,1287
黑龙江省,24年第12周（20240318-20240324）,598.2万,544.0万,15.0万,46299,1.40%,1.50%,1.80%,39.74,36.14,3.3,230,1281
黑龙江省,24年第13周（20240325-20240331）,696.6万,630.4万,17.0万,46077,1.20%,1.20%,1.80%,40.82,36.94,3.7,231,1284
